Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Vehicle insurance paid,451931,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Electricity bill paid,349837,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Customer receipt recorded,76425,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank loan installment paid,404413,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan repayment made,175849,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Sales income received,275405,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Computer equipment purchased,298836,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Insurance renewal paid,43157,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST payment made,373871,GST,GST Payable,GST Payable Dr | To Bank,Liability
Business travel expense,16050,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Business insurance paid,411534,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Internet bill paid,275229,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST tax deposited,183712,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle purchased,232475,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST liability paid,122291,GST,GST Payable,GST Payable Dr | To Bank,Liability
Office rent paid,50673,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Business travel expense,23787,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,490816,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Term loan payment made,94301,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Insurance renewal paid,442327,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly payroll payment,259478,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office furniture purchased,255601,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Hotel expense paid,447043,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Google advertisement expense,47913,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST tax deposited,80255,GST,GST Payable,GST Payable Dr | To Bank,Liability
Google advertisement expense,90660,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Monthly payroll payment,83171,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office rent paid,405788,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,499436,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance premium paid,147027,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Health insurance premium,385380,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Revenue received from client,457099,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,23723,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Health insurance premium,358163,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Monthly payroll payment,455634,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales income received,78563,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Customer payment received,146990,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly rent transferred,201294,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Marketing campaign expense,423794,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Monthly payroll payment,55385,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance renewal paid,320558,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Employee salary transfer,287284,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,406144,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Advertising charges paid,458778,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,10109,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,71763,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Vehicle insurance paid,196319,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Transaction charges deducted,384408,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance premium paid,213207,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle insurance paid,497412,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Utility expense paid,383005,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST deposited,97110,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer receipt recorded,57294,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly payroll payment,418212,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance renewal paid,318704,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank charges deducted,89915,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
CA fees paid,390627,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Advertising charges paid,355480,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Monthly rent transferred,231201,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer receipt recorded,214632,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Customer payment received,191054,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Promotional expense paid,1730,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Employee salary transfer,230049,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,233982,GST,GST Payable,GST Payable Dr | To Bank,Liability
Sales income received,231382,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,475124,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Payroll expense booked,56076,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Loan repayment made,444018,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST payment made,13644,GST,GST Payable,GST Payable Dr | To Bank,Liability
Building rent payment,324901,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Staff salary paid,439358,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,204627,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business insurance paid,368780,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Consultancy fees paid,338581,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer payment received,190113,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank charges deducted,195592,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Legal fees paid,337401,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan EMI paid,467880,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Transaction charges deducted,28690,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST liability paid,349152,GST,GST Payable,GST Payable Dr | To Bank,Liability
Printer purchased,443614,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan EMI paid,432213,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Water bill paid,72041,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Building rent payment,310765,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Marketing campaign expense,16344,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Electricity bill paid,87389,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Hotel expense paid,349790,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Hotel expense paid,495237,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST challan payment,248586,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST payment made,377411,GST,GST Payable,GST Payable Dr | To Bank,Liability
Salary paid to employees,317534,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Computer equipment purchased,27160,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly rent transferred,419087,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Warehouse rent paid,218549,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST payment made,472247,GST,GST Payable,GST Payable Dr | To Bank,Liability
Office rent paid,52015,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Consultancy fees paid,332992,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Facebook advertisement expense,100848,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,30341,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Employee salary transfer,43076,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,242242,GST,GST Payable,GST Payable Dr | To Bank,Liability
Water bill paid,185095,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Payroll expense booked,317452,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Taxi fare paid,218749,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Health insurance premium,267951,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Rent expense booked,63354,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Revenue received from client,234118,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Salary paid to employees,480272,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Flight ticket booked,323314,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Rent expense booked,22204,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance renewal paid,256922,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Professional charges paid,1875,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Business insurance paid,166261,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business travel expense,364945,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Salary paid to employees,236489,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST challan payment,104585,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan principal paid,76332,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST liability paid,312142,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan repayment made,16837,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Health insurance premium,450638,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Salary paid to employees,279996,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Health insurance premium,270224,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank charges deducted,463852,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank loan installment paid,208575,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Term loan payment made,247311,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Water bill paid,456706,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Insurance premium paid,83462,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Computer equipment purchased,44489,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Printer purchased,280389,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Computer equipment purchased,311266,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly payroll payment,69445,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,449278,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Advertising charges paid,188713,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office furniture purchased,331904,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Water bill paid,166376,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Warehouse rent paid,206906,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan principal paid,346349,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Vehicle purchased,160045,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Office furniture purchased,191024,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Taxi fare paid,312614,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Promotional expense paid,117690,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,320205,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Legal fees paid,313965,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Electricity bill paid,444976,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST challan payment,471246,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST tax deposited,301852,GST,GST Payable,GST Payable Dr | To Bank,Liability
Utility expense paid,392883,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Promotional expense paid,382091,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank loan installment paid,152905,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST challan payment,331440,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,235268,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,253427,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank commission charged,134249,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST tax deposited,468318,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan principal paid,495592,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Promotional expense paid,175683,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer receipt recorded,27738,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Advertising charges paid,201960,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Hotel expense paid,157696,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Printer purchased,151076,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST deposited,146867,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer payment received,211036,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank charges deducted,24812,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,411060,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Utility expense paid,127722,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales collection received,158065,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,483933,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Health insurance premium,27781,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer payment received,119221,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office rent paid,279113,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Transaction charges deducted,214008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank commission charged,374076,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Vehicle purchased,474112,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Electricity bill paid,409173,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,313049,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Payroll expense booked,220667,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Google advertisement expense,144332,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Promotional expense paid,332950,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Term loan payment made,49512,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan repayment made,182786,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Sales collection received,321168,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business insurance paid,259953,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Laptop purchased,190505,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,137858,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
CA fees paid,339539,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Water bill paid,188787,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Flight ticket booked,474805,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Building rent payment,90740,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank loan installment paid,479745,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Sales income received,467603,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Loan principal paid,102598,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Electricity bill paid,260585,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Taxi fare paid,144500,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer payment received,167321,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
GST challan payment,281122,GST,GST Payable,GST Payable Dr | To Bank,Liability
Travel reimbursement paid,240335,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Business travel expense,372727,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Building rent payment,47918,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Legal fees paid,206659,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Insurance renewal paid,31516,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Hotel expense paid,229025,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Taxi fare paid,303680,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Audit fees paid,173587,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,287791,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Utility expense paid,187438,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan repayment made,148700,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank service fee charged,394745,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank commission charged,306190,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Laptop purchased,120114,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,289859,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Electricity bill paid,460331,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank commission charged,291766,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST tax deposited,470379,GST,GST Payable,GST Payable Dr | To Bank,Liability
Payroll expense booked,451944,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance premium paid,433199,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance renewal paid,447605,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle purchased,98479,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Utility expense paid,214611,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Salary paid to employees,83953,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,89127,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance premium paid,134204,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Building rent payment,17502,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank service fee charged,197455,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Promotional expense paid,149599,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,262849,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Computer equipment purchased,24668,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Sales income received,282735,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,489666,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer receipt recorded,167529,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Internet bill paid,459399,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales income received,115681,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Customer receipt recorded,47940,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Advertising charges paid,445791,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,7245,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,412103,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Hotel expense paid,393386,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Term loan payment made,132212,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST payment made,444659,GST,GST Payable,GST Payable Dr | To Bank,Liability
Laptop purchased,349461,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Office furniture purchased,109952,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Laptop purchased,289784,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,465729,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Facebook advertisement expense,148585,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan EMI paid,418124,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST deposited,421348,GST,GST Payable,GST Payable Dr | To Bank,Liability
Google advertisement expense,289860,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST deposited,319298,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,327014,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Revenue received from client,135589,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business insurance paid,86413,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle insurance paid,133704,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Taxi fare paid,353950,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Payroll expense booked,32998,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank loan installment paid,209525,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Customer receipt recorded,474507,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,432576,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Monthly rent transferred,228034,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Business insurance paid,410155,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Sales collection received,17202,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly rent transferred,126399,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,79012,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST liability paid,486870,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan EMI paid,322715,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Rent expense booked,347790,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance premium paid,215297,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Flight ticket booked,182364,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Computer equipment purchased,190667,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST deposited,241521,GST,GST Payable,GST Payable Dr | To Bank,Liability
Insurance renewal paid,483071,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Revenue received from client,241210,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Term loan payment made,466519,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Laptop purchased,119092,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Term loan payment made,372254,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Transaction charges deducted,423817,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Audit fees paid,275154,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank loan installment paid,297903,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Monthly rent transferred,401661,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Processing charges deducted,100379,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan EMI paid,409967,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Processing charges deducted,487598,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Processing charges deducted,298901,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,247309,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,367694,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Promotional expense paid,113458,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Electricity bill paid,196621,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Hotel expense paid,120153,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Advertising charges paid,185564,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
CA fees paid,29283,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,329579,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Computer equipment purchased,450252,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Hotel expense paid,102612,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,364734,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank loan installment paid,462675,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan repayment made,208241,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business travel expense,100634,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer payment received,86270,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,228049,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales income received,458954,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Marketing campaign expense,469131,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank service fee charged,125560,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business insurance paid,437868,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan repayment made,304751,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Salary paid to employees,464737,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Loan principal paid,329486,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Consultancy fees paid,213111,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Vehicle insurance paid,276375,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle insurance paid,490164,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Electricity bill paid,25554,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Processing charges deducted,164373,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,236873,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,86626,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST deposited,186012,GST,GST Payable,GST Payable Dr | To Bank,Liability
Health insurance premium,52309,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Health insurance premium,402231,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank commission charged,455127,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business insurance paid,430206,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Salary paid to employees,54966,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,449897,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
