Transaction_Text,Ledger
Interest on loan Rs 81440,Loan Liability
CA consultation fees Rs 109007,Professional Fees
Salary paid to employee Rs 413956,Salary Expense
Inventory purchase Rs 120667,Purchase Expense
GST monthly payment Rs 287046,GST Payable
TDS payment Rs 6208,TDS Payable
Electricity bill payment Rs 490280,Utilities Expense
Wages paid to workers Rs 408827,Salary Expense
Flight ticket Rs 72655,Travel Expense
Security guard salary Rs 170889,Salary Expense
Telephone expense Rs 160684,Utilities Expense
Revenue from client Rs 74186,Sales Revenue
Warehouse rent Rs 446840,Rent Expense
Office rent payment Rs 111114,Rent Expense
Product sale Rs 81191,Sales Revenue
Loan repayment Rs 84083,Loan Liability
AWS hosting charges Rs 249203,Software Expense
GST monthly payment Rs 42592,GST Payable
Customer invoice generated Rs 137263,Sales Revenue
Savings account interest Rs 342551,Interest Income
Insurance expense Rs 335141,Insurance Expense
Marketing campaign expense Rs 465986,Marketing Expense
Internet bill Rs 232102,Utilities Expense
Bank service charges Rs 87832,Bank Charges
Warehouse rent Rs 247226,Rent Expense
Tax filing charges Rs 96885,Professional Fees
Flight ticket Rs 351188,Travel Expense
NEFT charges Rs 130503,Bank Charges
Uber ride Rs 106235,Travel Expense
Legal advisor fees Rs 387124,Professional Fees
Investment interest Rs 350450,Interest Income
Product sale Rs 480997,Sales Revenue
Interest on loan Rs 118747,Loan Liability
Monthly staff salary Rs 276842,Salary Expense
Interest on loan Rs 384123,Loan Liability
Wages paid to workers Rs 324991,Salary Expense
Professional consultancy fees Rs 489478,Professional Fees
Savings account interest Rs 200111,Interest Income
Marketing campaign expense Rs 490501,Marketing Expense
Monthly office rent Rs 385570,Rent Expense
FD interest received Rs 309411,Interest Income
Telephone expense Rs 337692,Utilities Expense
Interest credited Rs 384936,Interest Income
Investment interest Rs 263680,Interest Income
GST tax paid Rs 16765,GST Payable
Inventory purchase Rs 414104,Purchase Expense
Advertisement charges Rs 140978,Marketing Expense
Wages paid to workers Rs 185258,Salary Expense
Monthly staff salary Rs 444715,Salary Expense
Monthly staff salary Rs 270995,Salary Expense
Monthly office rent Rs 294390,Rent Expense
Wages paid to workers Rs 218671,Salary Expense
Processing fee charged by bank Rs 140306,Bank Charges
Salary paid to employee Rs 276813,Salary Expense
FD interest received Rs 349460,Interest Income
Hotel accommodation Rs 490490,Travel Expense
Promotional expense Rs 452193,Marketing Expense
Monthly office rent Rs 146936,Rent Expense
Payroll payment Rs 366026,Salary Expense
GST monthly payment Rs 382219,GST Payable
GST monthly payment Rs 492228,GST Payable
Employee bonus payment Rs 23325,Salary Expense
Security guard salary Rs 241288,Salary Expense
Uber ride Rs 481809,Travel Expense
Train ticket Rs 351958,Travel Expense
Cheque book charges Rs 490732,Bank Charges
Google Ads payment Rs 138369,Marketing Expense
Savings account interest Rs 29580,Interest Income
TDS payment Rs 226138,TDS Payable
Shop rent paid Rs 320908,Rent Expense
Warehouse rent Rs 468095,Rent Expense
Goods purchased Rs 392630,Purchase Expense
Water bill payment Rs 108955,Utilities Expense
Investment interest Rs 342626,Interest Income
GST tax paid Rs 94583,GST Payable
FD interest received Rs 467864,Interest Income
Software license renewal Rs 393818,Software Expense
Monthly staff salary Rs 281149,Salary Expense
Interest on loan Rs 362500,Loan Liability
GST deposited Rs 458260,GST Payable
Legal advisor fees Rs 254819,Professional Fees
Loan repayment Rs 475734,Loan Liability
Salary paid to employee Rs 268903,Salary Expense
Telephone expense Rs 230445,Utilities Expense
Payroll payment Rs 347393,Salary Expense
Cheque book charges Rs 91653,Bank Charges
Cloud hosting payment Rs 313381,Software Expense
Interest on loan Rs 387169,Loan Liability
Purchase invoice received Rs 178893,Purchase Expense
Monthly TDS payment Rs 141123,TDS Payable
Raw material purchase Rs 55734,Purchase Expense
Google Ads payment Rs 302214,Marketing Expense
Advertisement charges Rs 424133,Marketing Expense
Google Ads payment Rs 248260,Marketing Expense
GST liability payment Rs 22037,GST Payable
TDS government payment Rs 40555,TDS Payable
Water bill payment Rs 139786,Utilities Expense
Shop rent paid Rs 471444,Rent Expense
Hotel accommodation Rs 147553,Travel Expense
Shop rent paid Rs 309479,Rent Expense
Purchase invoice received Rs 424180,Purchase Expense
Interest credited Rs 421867,Interest Income
Security guard salary Rs 38734,Salary Expense
Marketing campaign expense Rs 371207,Marketing Expense
Legal advisor fees Rs 39253,Professional Fees
Shop rent paid Rs 385802,Rent Expense
Facebook advertisement Rs 147711,Marketing Expense
Microsoft 365 subscription Rs 151724,Software Expense
Wages paid to workers Rs 31227,Salary Expense
Health insurance premium Rs 124578,Insurance Expense
Monthly staff salary Rs 115383,Salary Expense
Hotel accommodation Rs 188277,Travel Expense
Google Ads payment Rs 15106,Marketing Expense
Internet bill Rs 72690,Utilities Expense
CA consultation fees Rs 231385,Professional Fees
Bank loan installment Rs 82180,Loan Liability
Marketing campaign expense Rs 465679,Marketing Expense
Payroll payment Rs 283586,Salary Expense
Insurance renewal Rs 353540,Insurance Expense
Customer invoice generated Rs 266536,Sales Revenue
Service income received Rs 350191,Sales Revenue
Interest on loan Rs 292714,Loan Liability
Wages paid to workers Rs 311597,Salary Expense
Loan repayment Rs 248580,Loan Liability
Professional consultancy fees Rs 192256,Professional Fees
Hotel accommodation Rs 349116,Travel Expense
TDS government payment Rs 468884,TDS Payable
FD interest received Rs 403199,Interest Income
GST liability payment Rs 91297,GST Payable
Bank interest income Rs 22063,Interest Income
Loan repayment Rs 97805,Loan Liability
Google Ads payment Rs 342668,Marketing Expense
Train ticket Rs 20360,Travel Expense
Water bill payment Rs 89259,Utilities Expense
Water bill payment Rs 141135,Utilities Expense
Loan EMI payment Rs 490237,Loan Liability
Health insurance premium Rs 400151,Insurance Expense
Employee bonus payment Rs 447200,Salary Expense
Audit fees Rs 10569,Professional Fees
Interest on loan Rs 62214,Loan Liability
GST liability payment Rs 11997,GST Payable
Inventory purchase Rs 92661,Purchase Expense
Salary paid to employee Rs 97390,Salary Expense
Goods purchased Rs 342840,Purchase Expense
GST monthly payment Rs 275733,GST Payable
Insurance renewal Rs 231553,Insurance Expense
Inventory purchase Rs 16797,Purchase Expense
Building lease payment Rs 270727,Rent Expense
Security guard salary Rs 349880,Salary Expense
Service income received Rs 193709,Sales Revenue
Water bill payment Rs 261144,Utilities Expense
Insurance expense Rs 256217,Insurance Expense
Service income received Rs 114418,Sales Revenue
Microsoft 365 subscription Rs 22563,Software Expense
Train ticket Rs 2756,Travel Expense
Inventory purchase Rs 85312,Purchase Expense
Purchase invoice received Rs 113438,Purchase Expense
Promotional expense Rs 149662,Marketing Expense
Loan EMI payment Rs 439846,Loan Liability
Security guard salary Rs 281192,Salary Expense
Telephone expense Rs 370767,Utilities Expense
Legal advisor fees Rs 269421,Professional Fees
Building lease payment Rs 153123,Rent Expense
GST liability payment Rs 298165,GST Payable
Water bill payment Rs 478274,Utilities Expense
Hotel accommodation Rs 356765,Travel Expense
TDS government payment Rs 252051,TDS Payable
TDS deposited Rs 250162,TDS Payable
GST monthly payment Rs 57315,GST Payable
Interest on loan Rs 438252,Loan Liability
NEFT charges Rs 469430,Bank Charges
Interest on loan Rs 288086,Loan Liability
Goods purchased Rs 131374,Purchase Expense
Product sale Rs 211531,Sales Revenue
TDS deposited Rs 182213,TDS Payable
Bank service charges Rs 27029,Bank Charges
Audit fees Rs 55005,Professional Fees
Salary paid to employee Rs 155553,Salary Expense
GST monthly payment Rs 475816,GST Payable
Tax filing charges Rs 249403,Professional Fees
RTGS charges Rs 450009,Bank Charges
Raw material purchase Rs 235984,Purchase Expense
Purchase invoice received Rs 47137,Purchase Expense
Legal advisor fees Rs 475920,Professional Fees
Business insurance payment Rs 400784,Insurance Expense
Insurance expense Rs 115955,Insurance Expense
FD interest received Rs 111308,Interest Income
Sales receipt Rs 263798,Sales Revenue
TDS government payment Rs 470013,TDS Payable
Electricity bill payment Rs 26673,Utilities Expense
Tax filing charges Rs 270034,Professional Fees
Savings account interest Rs 347195,Interest Income
Flight ticket Rs 99147,Travel Expense
Utility charges Rs 424537,Utilities Expense
TDS challan Rs 336790,TDS Payable
GST tax paid Rs 440635,GST Payable
Tax filing charges Rs 64547,Professional Fees
FD interest received Rs 431840,Interest Income
Monthly TDS payment Rs 94584,TDS Payable
TDS government payment Rs 377270,TDS Payable
Business travel expense Rs 442237,Travel Expense
Business travel expense Rs 435181,Travel Expense
Google Workspace subscription Rs 194330,Software Expense
Google Ads payment Rs 395331,Marketing Expense
Loan repayment Rs 242908,Loan Liability
Cloud hosting payment Rs 201258,Software Expense
Hotel accommodation Rs 183833,Travel Expense
Purchase invoice received Rs 87764,Purchase Expense
Vehicle insurance premium Rs 338937,Insurance Expense
Uber ride Rs 489881,Travel Expense
FD interest received Rs 142270,Interest Income
Savings account interest Rs 338596,Interest Income
Marketing campaign expense Rs 253025,Marketing Expense
Inventory purchase Rs 30213,Purchase Expense
Software license renewal Rs 483672,Software Expense
Advertisement charges Rs 232996,Marketing Expense
Raw material purchase Rs 26036,Purchase Expense
GST deposited Rs 468916,GST Payable
Payroll payment Rs 380227,Salary Expense
Product sale Rs 424832,Sales Revenue
GST deposited Rs 219180,GST Payable
Loan EMI payment Rs 265636,Loan Liability
Audit fees Rs 193680,Professional Fees
Business travel expense Rs 25239,Travel Expense
Payroll payment Rs 344685,Salary Expense
Payroll payment Rs 369110,Salary Expense
Product sale Rs 380291,Sales Revenue
Monthly TDS payment Rs 180894,TDS Payable
TDS challan Rs 367406,TDS Payable
GST payment challan Rs 111694,GST Payable
Interest credited Rs 436860,Interest Income
Train ticket Rs 347454,Travel Expense
Loan repayment Rs 251333,Loan Liability
Purchase invoice received Rs 266608,Purchase Expense
Cheque book charges Rs 189716,Bank Charges
Google Workspace subscription Rs 17694,Software Expense
Electricity bill payment Rs 374787,Utilities Expense
Telephone expense Rs 110907,Utilities Expense
Monthly TDS payment Rs 397685,TDS Payable
Savings account interest Rs 184578,Interest Income
GST deposited Rs 409301,GST Payable
GST monthly payment Rs 77320,GST Payable
Cloud hosting payment Rs 30437,Software Expense
Cheque book charges Rs 128148,Bank Charges
Hotel accommodation Rs 438918,Travel Expense
Business insurance payment Rs 3051,Insurance Expense
Marketing campaign expense Rs 296798,Marketing Expense
CA consultation fees Rs 81506,Professional Fees
Warehouse rent Rs 407042,Rent Expense
Savings account interest Rs 133772,Interest Income
Sales receipt Rs 105168,Sales Revenue
Payroll payment Rs 493125,Salary Expense
Interest on loan Rs 336312,Loan Liability
Professional consultancy fees Rs 64780,Professional Fees
Security guard salary Rs 247288,Salary Expense
Warehouse rent Rs 459531,Rent Expense
Raw material purchase Rs 455505,Purchase Expense
GST tax paid Rs 6731,GST Payable
Health insurance premium Rs 312322,Insurance Expense
Cloud hosting payment Rs 14821,Software Expense
Microsoft 365 subscription Rs 245664,Software Expense
Revenue from client Rs 50011,Sales Revenue
Service income received Rs 257451,Sales Revenue
Office supplies purchase Rs 114445,Purchase Expense
Cloud hosting payment Rs 318677,Software Expense
FD interest received Rs 434842,Interest Income
Cheque book charges Rs 110720,Bank Charges
Cheque book charges Rs 464067,Bank Charges
AWS hosting charges Rs 123144,Software Expense
Facebook advertisement Rs 156588,Marketing Expense
Interest on loan Rs 257003,Loan Liability
Water bill payment Rs 211329,Utilities Expense
Software license renewal Rs 81925,Software Expense
Sales receipt Rs 362402,Sales Revenue
Security guard salary Rs 79790,Salary Expense
Interest on loan Rs 75018,Loan Liability
Purchase invoice received Rs 233080,Purchase Expense
AWS hosting charges Rs 420399,Software Expense
GST monthly payment Rs 382780,GST Payable
TDS challan Rs 303874,TDS Payable
Flight ticket Rs 62426,Travel Expense
Warehouse rent Rs 406897,Rent Expense
Vehicle insurance premium Rs 411232,Insurance Expense
Service income received Rs 487961,Sales Revenue
Loan repayment Rs 138736,Loan Liability
Inventory purchase Rs 110963,Purchase Expense
Health insurance premium Rs 484093,Insurance Expense
TDS payment Rs 226085,TDS Payable
Bank service charges Rs 390393,Bank Charges
TDS payment Rs 371194,TDS Payable
Revenue from client Rs 215512,Sales Revenue
TDS government payment Rs 325253,TDS Payable
NEFT charges Rs 258813,Bank Charges
GST tax paid Rs 91997,GST Payable
Tax filing charges Rs 175107,Professional Fees
Building lease payment Rs 343525,Rent Expense
Tax filing charges Rs 261995,Professional Fees
Microsoft 365 subscription Rs 233177,Software Expense
Promotional expense Rs 378849,Marketing Expense
Product sale Rs 173497,Sales Revenue
Flight ticket Rs 219039,Travel Expense
Insurance expense Rs 160658,Insurance Expense
Promotional expense Rs 453533,Marketing Expense
TDS deposited Rs 494286,TDS Payable
Office supplies purchase Rs 450077,Purchase Expense
Customer invoice generated Rs 173477,Sales Revenue
Security guard salary Rs 385075,Salary Expense
Advertisement charges Rs 194985,Marketing Expense
NEFT charges Rs 292391,Bank Charges
Service income received Rs 311070,Sales Revenue
Product sale Rs 17846,Sales Revenue
Loan repayment Rs 209160,Loan Liability
Business loan payment Rs 125163,Loan Liability
Interest credited Rs 19674,Interest Income
GST liability payment Rs 167740,GST Payable
Monthly TDS payment Rs 390951,TDS Payable
TDS payment Rs 440023,TDS Payable
Vehicle insurance premium Rs 385552,Insurance Expense
Vehicle insurance premium Rs 344633,Insurance Expense
Promotional expense Rs 368255,Marketing Expense
GST deposited Rs 66262,GST Payable
Salary paid to employee Rs 155719,Salary Expense
Software license renewal Rs 394755,Software Expense
Business travel expense Rs 79146,Travel Expense
GST tax paid Rs 172927,GST Payable
Bank loan installment Rs 69804,Loan Liability
Investment interest Rs 424221,Interest Income
Professional consultancy fees Rs 28855,Professional Fees
Tax filing charges Rs 106850,Professional Fees
Processing fee charged by bank Rs 57560,Bank Charges
Office rent payment Rs 20796,Rent Expense
Payroll payment Rs 134176,Salary Expense
Office supplies purchase Rs 94414,Purchase Expense
Water bill payment Rs 244750,Utilities Expense
Utility charges Rs 102757,Utilities Expense
Vehicle insurance premium Rs 115192,Insurance Expense
Building lease payment Rs 254222,Rent Expense
TDS payment Rs 159723,TDS Payable
Google Workspace subscription Rs 293832,Software Expense
Vehicle insurance premium Rs 270651,Insurance Expense
Advertisement charges Rs 409978,Marketing Expense
Facebook advertisement Rs 102199,Marketing Expense
Bank service charges Rs 407356,Bank Charges
Payroll payment Rs 198745,Salary Expense
Purchase invoice received Rs 163251,Purchase Expense
GST payment challan Rs 243831,GST Payable
Train ticket Rs 78141,Travel Expense
Office rent payment Rs 387482,Rent Expense
Building lease payment Rs 382830,Rent Expense
Business loan payment Rs 334416,Loan Liability
Investment interest Rs 274897,Interest Income
Security guard salary Rs 310176,Salary Expense
Business travel expense Rs 30064,Travel Expense
Tax filing charges Rs 32853,Professional Fees
AWS hosting charges Rs 286979,Software Expense
Cloud hosting payment Rs 101319,Software Expense
Business insurance payment Rs 246459,Insurance Expense
Monthly TDS payment Rs 317669,TDS Payable
Loan EMI payment Rs 42997,Loan Liability
Google Ads payment Rs 251036,Marketing Expense
CA consultation fees Rs 221925,Professional Fees
Monthly office rent Rs 214676,Rent Expense
TDS deposited Rs 142605,TDS Payable
Processing fee charged by bank Rs 192544,Bank Charges
Investment interest Rs 117674,Interest Income
Legal advisor fees Rs 229824,Professional Fees
GST deposited Rs 109275,GST Payable
Google Workspace subscription Rs 125498,Software Expense
Google Ads payment Rs 59805,Marketing Expense
Tax filing charges Rs 38357,Professional Fees
Promotional expense Rs 157263,Marketing Expense
Investment interest Rs 393037,Interest Income
Utility charges Rs 74381,Utilities Expense
Sales receipt Rs 469017,Sales Revenue
Interest on loan Rs 476512,Loan Liability
Bank loan installment Rs 131637,Loan Liability
Bank loan installment Rs 476960,Loan Liability
GST liability payment Rs 251972,GST Payable
Flight ticket Rs 80492,Travel Expense
Tax filing charges Rs 30558,Professional Fees
Salary paid to employee Rs 263461,Salary Expense
Water bill payment Rs 300044,Utilities Expense
Cloud hosting payment Rs 368762,Software Expense
Interest on loan Rs 98693,Loan Liability
Monthly TDS payment Rs 32680,TDS Payable
Tax filing charges Rs 6610,Professional Fees
Cloud hosting payment Rs 164151,Software Expense
Employee bonus payment Rs 318247,Salary Expense
GST monthly payment Rs 227880,GST Payable
Train ticket Rs 452106,Travel Expense
Microsoft 365 subscription Rs 367539,Software Expense
GST monthly payment Rs 199152,GST Payable
Bank service charges Rs 327141,Bank Charges
Office supplies purchase Rs 487491,Purchase Expense
Inventory purchase Rs 378497,Purchase Expense
Loan repayment Rs 189496,Loan Liability
Payroll payment Rs 99611,Salary Expense
Internet bill Rs 111862,Utilities Expense
Monthly office rent Rs 13625,Rent Expense
Cloud hosting payment Rs 42611,Software Expense
Service income received Rs 390321,Sales Revenue
Service income received Rs 408463,Sales Revenue
Investment interest Rs 277459,Interest Income
Bank loan installment Rs 473693,Loan Liability
Microsoft 365 subscription Rs 263941,Software Expense
Google Workspace subscription Rs 110646,Software Expense
Savings account interest Rs 287231,Interest Income
Audit fees Rs 143369,Professional Fees
Advertisement charges Rs 293534,Marketing Expense
Interest on loan Rs 144583,Loan Liability
Cloud hosting payment Rs 11689,Software Expense
Software license renewal Rs 401128,Software Expense
Legal advisor fees Rs 205389,Professional Fees
Vehicle insurance premium Rs 37632,Insurance Expense
GST deposited Rs 28359,GST Payable
Bank interest income Rs 480442,Interest Income
Monthly office rent Rs 454316,Rent Expense
GST liability payment Rs 163453,GST Payable
Advertisement charges Rs 387769,Marketing Expense
Office rent payment Rs 224705,Rent Expense
Water bill payment Rs 152669,Utilities Expense
Software license renewal Rs 443811,Software Expense
Monthly TDS payment Rs 483231,TDS Payable
Processing fee charged by bank Rs 73344,Bank Charges
Purchase invoice received Rs 425375,Purchase Expense
TDS payment Rs 11444,TDS Payable
GST tax paid Rs 207206,GST Payable
Microsoft 365 subscription Rs 48526,Software Expense
Internet bill Rs 491808,Utilities Expense
Business travel expense Rs 328063,Travel Expense
GST payment challan Rs 122307,GST Payable
Inventory purchase Rs 81353,Purchase Expense
Office supplies purchase Rs 465970,Purchase Expense
Flight ticket Rs 460411,Travel Expense
Sales receipt Rs 149495,Sales Revenue
RTGS charges Rs 237073,Bank Charges
Wages paid to workers Rs 70559,Salary Expense
Internet bill Rs 457084,Utilities Expense
Microsoft 365 subscription Rs 32690,Software Expense
Raw material purchase Rs 36436,Purchase Expense
Goods purchased Rs 139108,Purchase Expense
Business loan payment Rs 253494,Loan Liability
Cheque book charges Rs 343674,Bank Charges
Electricity bill payment Rs 15834,Utilities Expense
Water bill payment Rs 458521,Utilities Expense
NEFT charges Rs 188259,Bank Charges
Shop rent paid Rs 85618,Rent Expense
TDS payment Rs 239133,TDS Payable
Purchase invoice received Rs 489278,Purchase Expense
Promotional expense Rs 18951,Marketing Expense
TDS challan Rs 187767,TDS Payable
TDS government payment Rs 475664,TDS Payable
Insurance renewal Rs 214392,Insurance Expense
Employee bonus payment Rs 495112,Salary Expense
TDS challan Rs 133187,TDS Payable
Sales receipt Rs 169886,Sales Revenue
Product sale Rs 390883,Sales Revenue
Google Ads payment Rs 450047,Marketing Expense
Purchase invoice received Rs 68908,Purchase Expense
Tax filing charges Rs 202432,Professional Fees
Service income received Rs 193598,Sales Revenue
TDS deposited Rs 499016,TDS Payable
Bank interest income Rs 307239,Interest Income
Business insurance payment Rs 487711,Insurance Expense
Building lease payment Rs 97702,Rent Expense
Sales receipt Rs 200504,Sales Revenue
Shop rent paid Rs 412686,Rent Expense
Google Workspace subscription Rs 479243,Software Expense
GST payment challan Rs 130714,GST Payable
Bank service charges Rs 445221,Bank Charges
FD interest received Rs 79990,Interest Income
CA consultation fees Rs 225568,Professional Fees
Inventory purchase Rs 378496,Purchase Expense
Purchase invoice received Rs 161871,Purchase Expense
GST payment challan Rs 209253,GST Payable
Raw material purchase Rs 468947,Purchase Expense
Bank service charges Rs 259882,Bank Charges
Interest on loan Rs 764,Loan Liability
Cheque book charges Rs 191276,Bank Charges
Sales receipt Rs 237267,Sales Revenue
Facebook advertisement Rs 167637,Marketing Expense
Revenue from client Rs 427797,Sales Revenue
GST liability payment Rs 276013,GST Payable
Business insurance payment Rs 262435,Insurance Expense
RTGS charges Rs 400964,Bank Charges
CA consultation fees Rs 153607,Professional Fees
Uber ride Rs 343409,Travel Expense
Health insurance premium Rs 176618,Insurance Expense
TDS government payment Rs 43761,TDS Payable
Google Ads payment Rs 133687,Marketing Expense
Service income received Rs 334781,Sales Revenue
GST monthly payment Rs 441788,GST Payable
Security guard salary Rs 291761,Salary Expense
Savings account interest Rs 273442,Interest Income
Tax filing charges Rs 145269,Professional Fees
Advertisement charges Rs 16731,Marketing Expense
Revenue from client Rs 15617,Sales Revenue
Business loan payment Rs 113884,Loan Liability
Train ticket Rs 32563,Travel Expense
GST payment challan Rs 118970,GST Payable
Wages paid to workers Rs 349140,Salary Expense
Professional consultancy fees Rs 209720,Professional Fees
Promotional expense Rs 184748,Marketing Expense
Facebook advertisement Rs 10328,Marketing Expense
Software license renewal Rs 398485,Software Expense
CA consultation fees Rs 374926,Professional Fees
Internet bill Rs 215249,Utilities Expense
Office rent payment Rs 374241,Rent Expense
Tax filing charges Rs 62155,Professional Fees
Google Ads payment Rs 193337,Marketing Expense
Monthly TDS payment Rs 196182,TDS Payable
GST tax paid Rs 299075,GST Payable
GST payment challan Rs 338220,GST Payable
Wages paid to workers Rs 67251,Salary Expense
FD interest received Rs 442349,Interest Income
GST monthly payment Rs 329286,GST Payable
TDS challan Rs 428119,TDS Payable
GST tax paid Rs 405499,GST Payable
GST tax paid Rs 69702,GST Payable
Office supplies purchase Rs 218792,Purchase Expense
Sales receipt Rs 493846,Sales Revenue
Wages paid to workers Rs 255772,Salary Expense
Microsoft 365 subscription Rs 296535,Software Expense
Monthly TDS payment Rs 346299,TDS Payable
Interest on loan Rs 109439,Loan Liability
Facebook advertisement Rs 164309,Marketing Expense
Shop rent paid Rs 464069,Rent Expense
Business travel expense Rs 60879,Travel Expense
Tax filing charges Rs 434667,Professional Fees
Telephone expense Rs 86417,Utilities Expense
Monthly TDS payment Rs 221692,TDS Payable
Product sale Rs 225065,Sales Revenue
Microsoft 365 subscription Rs 10036,Software Expense
GST monthly payment Rs 316322,GST Payable
Audit fees Rs 32857,Professional Fees
Vehicle insurance premium Rs 80407,Insurance Expense
Telephone expense Rs 17002,Utilities Expense
Investment interest Rs 429406,Interest Income
Hotel accommodation Rs 464380,Travel Expense
Internet bill Rs 161209,Utilities Expense
Security guard salary Rs 483246,Salary Expense
Customer invoice generated Rs 170558,Sales Revenue
Purchase invoice received Rs 291162,Purchase Expense
Processing fee charged by bank Rs 333342,Bank Charges
Insurance renewal Rs 137064,Insurance Expense
Insurance renewal Rs 191565,Insurance Expense
Wages paid to workers Rs 84411,Salary Expense
Hotel accommodation Rs 244200,Travel Expense
Professional consultancy fees Rs 29674,Professional Fees
Business travel expense Rs 172659,Travel Expense
GST liability payment Rs 157504,GST Payable
Investment interest Rs 348883,Interest Income
Service income received Rs 269364,Sales Revenue
Revenue from client Rs 361831,Sales Revenue
Processing fee charged by bank Rs 269836,Bank Charges
TDS payment Rs 57773,TDS Payable
Audit fees Rs 180942,Professional Fees
Electricity bill payment Rs 304618,Utilities Expense
NEFT charges Rs 150993,Bank Charges
Google Ads payment Rs 416642,Marketing Expense
Utility charges Rs 124220,Utilities Expense
Wages paid to workers Rs 204796,Salary Expense
Professional consultancy fees Rs 181262,Professional Fees
Payroll payment Rs 112428,Salary Expense
Flight ticket Rs 482166,Travel Expense
TDS payment Rs 328510,TDS Payable
AWS hosting charges Rs 87449,Software Expense
GST liability payment Rs 164990,GST Payable
RTGS charges Rs 33291,Bank Charges
Telephone expense Rs 102982,Utilities Expense
TDS challan Rs 261734,TDS Payable
Hotel accommodation Rs 345744,Travel Expense
Train ticket Rs 89245,Travel Expense
Processing fee charged by bank Rs 284752,Bank Charges
GST payment challan Rs 346377,GST Payable
Insurance expense Rs 156389,Insurance Expense
Software license renewal Rs 264538,Software Expense
Customer invoice generated Rs 93224,Sales Revenue
Product sale Rs 164041,Sales Revenue
Office rent payment Rs 60812,Rent Expense
Train ticket Rs 373661,Travel Expense
Savings account interest Rs 304178,Interest Income
Service income received Rs 65344,Sales Revenue
GST deposited Rs 199379,GST Payable
Interest credited Rs 259627,Interest Income
RTGS charges Rs 46440,Bank Charges
Office rent payment Rs 392007,Rent Expense
Insurance expense Rs 307453,Insurance Expense
Monthly TDS payment Rs 449399,TDS Payable
Business insurance payment Rs 252055,Insurance Expense
GST payment challan Rs 81739,GST Payable
Raw material purchase Rs 339358,Purchase Expense
CA consultation fees Rs 12132,Professional Fees
Uber ride Rs 348684,Travel Expense
Professional consultancy fees Rs 66216,Professional Fees
Cloud hosting payment Rs 114927,Software Expense
Train ticket Rs 84776,Travel Expense
Cheque book charges Rs 151256,Bank Charges
NEFT charges Rs 71946,Bank Charges
Insurance renewal Rs 308052,Insurance Expense
Business travel expense Rs 160050,Travel Expense
Wages paid to workers Rs 24530,Salary Expense
Payroll payment Rs 454022,Salary Expense
Office supplies purchase Rs 97809,Purchase Expense
Goods purchased Rs 343446,Purchase Expense
AWS hosting charges Rs 373433,Software Expense
TDS challan Rs 137250,TDS Payable
TDS government payment Rs 274878,TDS Payable
Warehouse rent Rs 227470,Rent Expense
Office rent payment Rs 96761,Rent Expense
Service income received Rs 416625,Sales Revenue
TDS deposited Rs 276370,TDS Payable
Professional consultancy fees Rs 489827,Professional Fees
Service income received Rs 263605,Sales Revenue
Audit fees Rs 133789,Professional Fees
Building lease payment Rs 120076,Rent Expense
Electricity bill payment Rs 251258,Utilities Expense
Processing fee charged by bank Rs 376784,Bank Charges
Interest credited Rs 282028,Interest Income
Warehouse rent Rs 194109,Rent Expense
Sales receipt Rs 197457,Sales Revenue
Google Workspace subscription Rs 174302,Software Expense
Flight ticket Rs 454935,Travel Expense
Facebook advertisement Rs 44718,Marketing Expense
RTGS charges Rs 84544,Bank Charges
FD interest received Rs 461324,Interest Income
Sales receipt Rs 380352,Sales Revenue
Processing fee charged by bank Rs 270165,Bank Charges
Building lease payment Rs 388962,Rent Expense
Purchase invoice received Rs 70322,Purchase Expense
Product sale Rs 417612,Sales Revenue
Employee bonus payment Rs 230268,Salary Expense
Loan repayment Rs 119306,Loan Liability
Service income received Rs 359999,Sales Revenue
AWS hosting charges Rs 88477,Software Expense
NEFT charges Rs 444270,Bank Charges
Bank loan installment Rs 267997,Loan Liability
Tax filing charges Rs 344300,Professional Fees
Advertisement charges Rs 308674,Marketing Expense
Uber ride Rs 481330,Travel Expense
TDS challan Rs 99285,TDS Payable
Promotional expense Rs 211142,Marketing Expense
Interest on loan Rs 201047,Loan Liability
TDS challan Rs 499342,TDS Payable
Software license renewal Rs 65985,Software Expense
Office rent payment Rs 7379,Rent Expense
Loan repayment Rs 139870,Loan Liability
GST tax paid Rs 471062,GST Payable
Promotional expense Rs 185721,Marketing Expense
Building lease payment Rs 271010,Rent Expense
Security guard salary Rs 34625,Salary Expense
Google Workspace subscription Rs 481060,Software Expense
Business insurance payment Rs 33319,Insurance Expense
Utility charges Rs 203777,Utilities Expense
Microsoft 365 subscription Rs 482513,Software Expense
FD interest received Rs 430069,Interest Income
Office rent payment Rs 75999,Rent Expense
Monthly staff salary Rs 67293,Salary Expense
Health insurance premium Rs 453479,Insurance Expense
Legal advisor fees Rs 353256,Professional Fees
TDS government payment Rs 164739,TDS Payable
Investment interest Rs 92616,Interest Income
RTGS charges Rs 350486,Bank Charges
Business travel expense Rs 312349,Travel Expense
TDS government payment Rs 135721,TDS Payable
Microsoft 365 subscription Rs 167169,Software Expense
Legal advisor fees Rs 464592,Professional Fees
Sales receipt Rs 480193,Sales Revenue
Tax filing charges Rs 341263,Professional Fees
Google Ads payment Rs 482136,Marketing Expense
Raw material purchase Rs 324065,Purchase Expense
Sales receipt Rs 450544,Sales Revenue
FD interest received Rs 9086,Interest Income
