Invoice_Text,Category
Cash Sale Bill Rs 296449,B2C
Sales Return Credit Note Rs 137512,Credit Note
Import Goods From Canada Rs 492533,Import
Overseas Supplier Invoice Germany Rs 142121,Import
Debit Note For Short Supply Rs 454605,Debit Note
Sales Return Credit Note Rs 29809,Credit Note
GST Refund Received Rs 49848,GST Refund
GST Refund Received Rs 108227,GST Refund
Input GST Refund Rs 242612,GST Refund
GST Claim Refund Rs 473948,GST Refund
RCM Professional Fees Rs 347880,Reverse Charge
Monthly GST Deposit Rs 125396,GST Payment
Advocate Invoice RCM Rs 391749,Reverse Charge
Reverse Charge GST Service Rs 442773,Reverse Charge
Monthly GST Deposit Rs 76898,GST Payment
Credit Note Against Invoice Rs 470559,Credit Note
Corporate Invoice for HCL Rs 250048,B2B
Debit Note For Freight Rs 104499,Debit Note
Credit Adjustment Note Rs 285397,Credit Note
GST Challan Payment Rs 428696,GST Payment
Overseas Supplier Invoice Singapore Rs 275387,Import
Export GST Refund Rs 116710,GST Refund
Tax Invoice issued to Deloitte Rs 29241,B2B
Tax Invoice issued to Infosys Rs 362235,B2B
Purchase Adjustment Debit Note Rs 341851,Debit Note
Sales Return Credit Note Rs 419751,Credit Note
Advocate Invoice RCM Rs 83304,Reverse Charge
Sales Return Credit Note Rs 183219,Credit Note
Monthly GST Deposit Rs 246693,GST Payment
Export Supply Invoice Japan Rs 117925,Export
RCM Professional Fees Rs 412005,Reverse Charge
Customer Purchase Bill Rs 134895,B2C
Customer Purchase Bill Rs 392937,B2C
Vendor Debit Note Rs 411638,Debit Note
Customer Credit Note Rs 18261,Credit Note
Credit Note Against Invoice Rs 278617,Credit Note
Education Service Invoice Rs 368587,Exempt Supply
LUT Export Invoice to USA Rs 295418,Export
Export GST Refund Rs 216639,GST Refund
GST Claim Refund Rs 232578,GST Refund
GST Claim Refund Rs 350481,GST Refund
Import Purchase Bill Japan Rs 432046,Import
Tax Invoice issued to Tata Steel Rs 124225,B2B
Debit Note For Freight Rs 472606,Debit Note
Tax Invoice issued to Tata Steel Rs 118891,B2B
Overseas Supplier Invoice Canada Rs 142400,Import
Tax Invoice issued to Deloitte Rs 453694,B2B
Education Service Invoice Rs 142303,Exempt Supply
GST Tax Payment Rs 65002,GST Payment
Customer Credit Note Rs 239255,Credit Note
Monthly GST Deposit Rs 398324,GST Payment
Education Service Invoice Rs 157167,Exempt Supply
Purchase Adjustment Debit Note Rs 49656,Debit Note
Debit Note For Short Supply Rs 18716,Debit Note
RCM Professional Fees Rs 301886,Reverse Charge
Healthcare Service Invoice Rs 65093,Exempt Supply
Export Supply Invoice Germany Rs 383304,Export
Retail Sale Invoice Rs 499241,B2C
Purchase Adjustment Debit Note Rs 333621,Debit Note
Tax Invoice issued to Reliance Rs 25376,B2B
Monthly GST Deposit Rs 229157,GST Payment
GST Challan Payment Rs 118536,GST Payment
Medical Service Exempt Invoice Rs 441931,Exempt Supply
Sales Return Credit Note Rs 15107,Credit Note
Wholesale Sale to Google Rs 367862,B2B
Export GST Refund Rs 206041,GST Refund
Purchase Adjustment Debit Note Rs 147055,Debit Note
Monthly GST Deposit Rs 119585,GST Payment
Reverse Charge GST Service Rs 193928,Reverse Charge
Credit Note Against Invoice Rs 119148,Credit Note
International Sale to Japan Rs 147351,Export
Customer Credit Note Rs 383336,Credit Note
Vendor Debit Note Rs 154498,Debit Note
Debit Note For Freight Rs 32687,Debit Note
International Sale to Singapore Rs 439621,Export
Import Material Invoice Japan Rs 230200,Import
Overseas Supplier Invoice Canada Rs 388079,Import
Retail Sale Invoice Rs 205486,B2C
Import Goods From Germany Rs 467934,Import
Healthcare Service Invoice Rs 496031,Exempt Supply
Reverse Charge GST Service Rs 53496,Reverse Charge
Purchase Adjustment Debit Note Rs 474152,Debit Note
Export GST Refund Rs 38079,GST Refund
Export GST Refund Rs 438283,GST Refund
Advocate Invoice RCM Rs 60975,Reverse Charge
Credit Note Against Invoice Rs 297560,Credit Note
GST Challan Payment Rs 173405,GST Payment
Debit Note For Short Supply Rs 122707,Debit Note
GST Invoice to Wipro Rs 120288,B2B
Input GST Refund Rs 160034,GST Refund
International Sale to Germany Rs 163127,Export
Vendor Debit Note Rs 110161,Debit Note
Debit Note For Short Supply Rs 13130,Debit Note
Sales Return Credit Note Rs 477094,Credit Note
Credit Note Against Invoice Rs 456164,Credit Note
Vendor Debit Note Rs 456895,Debit Note
GST Tax Payment Rs 127707,GST Payment
Reverse Charge GST Service Rs 390512,Reverse Charge
Export GST Refund Rs 236757,GST Refund
Sales Return Credit Note Rs 269491,Credit Note
Legal Service Under RCM Rs 369752,Reverse Charge
Credit Adjustment Note Rs 464745,Credit Note
Import Material Invoice Japan Rs 263988,Import
Import Material Invoice Germany Rs 225710,Import
Export Invoice to Singapore Rs 136226,Export
Retail Sale Invoice Rs 238643,B2C
GST Invoice to Google Rs 414739,B2B
Legal Service Under RCM Rs 283021,Reverse Charge
Export Invoice to USA Rs 271279,Export
Consumer Invoice Rs 316615,B2C
Corporate Invoice for Oracle Rs 442604,B2B
Debit Note For Short Supply Rs 460582,Debit Note
Legal Service Under RCM Rs 490530,Reverse Charge
GST Claim Refund Rs 450658,GST Refund
Monthly GST Deposit Rs 470016,GST Payment
International Sale to Canada Rs 400458,Export
Corporate Invoice for Google Rs 198074,B2B
GST Tax Payment Rs 312709,GST Payment
Credit Adjustment Note Rs 260838,Credit Note
Input GST Refund Rs 387096,GST Refund
Healthcare Service Invoice Rs 11042,Exempt Supply
Consumer Invoice Rs 185198,B2C
Tax Invoice issued to Infosys Rs 412316,B2B
Exempt Supply Bill Rs 489100,Exempt Supply
Import Material Invoice UK Rs 306265,Import
Education Service Invoice Rs 186769,Exempt Supply
Input GST Refund Rs 294402,GST Refund
Credit Adjustment Note Rs 165273,Credit Note
Export GST Refund Rs 482262,GST Refund
Import Goods From Australia Rs 391349,Import
GST Invoice to Oracle Rs 228129,B2B
Credit Adjustment Note Rs 193041,Credit Note
Export Supply Invoice Japan Rs 74912,Export
Import Purchase Bill UK Rs 374134,Import
Import Purchase Bill Germany Rs 137976,Import
Education Service Invoice Rs 266041,Exempt Supply
RCM Professional Fees Rs 415581,Reverse Charge
Import Goods From UK Rs 492637,Import
International Sale to Germany Rs 127905,Export
Debit Note For Freight Rs 199622,Debit Note
Credit Adjustment Note Rs 399006,Credit Note
Advocate Invoice RCM Rs 156657,Reverse Charge
Import Material Invoice UK Rs 338560,Import
GST Invoice to Adani Rs 88852,B2B
International Sale to Canada Rs 300057,Export
Healthcare Service Invoice Rs 384215,Exempt Supply
Customer Credit Note Rs 2159,Credit Note
Import Goods From Germany Rs 121680,Import
Medical Service Exempt Invoice Rs 388128,Exempt Supply
Tax Invoice issued to Wipro Rs 236045,B2B
Credit Adjustment Note Rs 342537,Credit Note
GST Refund Received Rs 48193,GST Refund
Healthcare Service Invoice Rs 407698,Exempt Supply
Overseas Supplier Invoice Singapore Rs 95606,Import
International Sale to UK Rs 157615,Export
GST Tax Payment Rs 411383,GST Payment
Monthly GST Deposit Rs 50244,GST Payment
GST Invoice to Adani Rs 489794,B2B
Cash Sale Bill Rs 211598,B2C
Retail Sale Invoice Rs 121964,B2C
Vendor Debit Note Rs 25338,Debit Note
Debit Note For Freight Rs 43219,Debit Note
Advocate Invoice RCM Rs 426608,Reverse Charge
Import Purchase Bill Germany Rs 51592,Import
Reverse Charge GST Service Rs 129525,Reverse Charge
Education Service Invoice Rs 209947,Exempt Supply
Import Purchase Bill Australia Rs 95220,Import
Credit Note Against Invoice Rs 292764,Credit Note
GST Invoice to Tata Steel Rs 227584,B2B
Customer Credit Note Rs 455450,Credit Note
Input GST Refund Rs 240289,GST Refund
Retail Sale Invoice Rs 36872,B2C
Consumer Invoice Rs 456926,B2C
Exempt Supply Bill Rs 369490,Exempt Supply
Debit Note For Freight Rs 120370,Debit Note
Export Invoice to UK Rs 489130,Export
GST Liability Payment Rs 327475,GST Payment
Vendor Debit Note Rs 123697,Debit Note
Import Purchase Bill Germany Rs 71985,Import
Reverse Charge GST Service Rs 47657,Reverse Charge
Import Purchase Bill Singapore Rs 301394,Import
GST Tax Payment Rs 212149,GST Payment
Monthly GST Deposit Rs 293994,GST Payment
Input GST Refund Rs 275795,GST Refund
Education Service Invoice Rs 285508,Exempt Supply
Export Invoice to Germany Rs 491738,Export
Corporate Invoice for Amazon Rs 467752,B2B
Consumer Invoice Rs 475696,B2C
GST Challan Payment Rs 302785,GST Payment
GST Challan Payment Rs 341612,GST Payment
Advocate Invoice RCM Rs 415166,Reverse Charge
Retail Sale Invoice Rs 382112,B2C
International Sale to Germany Rs 262347,Export
Export Invoice to Germany Rs 252144,Export
Consumer Invoice Rs 254374,B2C
Sales Return Credit Note Rs 132479,Credit Note
GST Challan Payment Rs 34969,GST Payment
GST Claim Refund Rs 68754,GST Refund
Debit Note For Freight Rs 123269,Debit Note
Medical Service Exempt Invoice Rs 358813,Exempt Supply
Tax Invoice issued to Flipkart Rs 3611,B2B
Debit Note For Short Supply Rs 186515,Debit Note
Debit Note For Freight Rs 287396,Debit Note
Debit Note For Freight Rs 438813,Debit Note
Education Service Invoice Rs 63337,Exempt Supply
GST Tax Payment Rs 460456,GST Payment
Import Material Invoice Canada Rs 499822,Import
Exempt Supply Bill Rs 117471,Exempt Supply
Credit Adjustment Note Rs 263178,Credit Note
GST Invoice to Flipkart Rs 104152,B2B
Debit Note For Short Supply Rs 358532,Debit Note
Legal Service Under RCM Rs 189311,Reverse Charge
Education Service Invoice Rs 19231,Exempt Supply
Import Goods From Germany Rs 270385,Import
LUT Export Invoice to Australia Rs 118094,Export
Overseas Supplier Invoice Australia Rs 42175,Import
GST Liability Payment Rs 136899,GST Payment
GST Liability Payment Rs 201425,GST Payment
Advocate Invoice RCM Rs 400037,Reverse Charge
GST Challan Payment Rs 398421,GST Payment
LUT Export Invoice to USA Rs 147796,Export
LUT Export Invoice to UK Rs 464823,Export
Vendor Debit Note Rs 300412,Debit Note
Purchase Adjustment Debit Note Rs 182416,Debit Note
Credit Adjustment Note Rs 377492,Credit Note
Export Invoice to Canada Rs 190632,Export
Import Material Invoice Canada Rs 192792,Import
Medical Service Exempt Invoice Rs 488401,Exempt Supply
Reverse Charge GST Service Rs 151667,Reverse Charge
GST Claim Refund Rs 449303,GST Refund
Debit Note For Freight Rs 489771,Debit Note
Import Material Invoice Germany Rs 336962,Import
Wholesale Sale to IBM Rs 137905,B2B
Import Purchase Bill Australia Rs 421413,Import
Advocate Invoice RCM Rs 333074,Reverse Charge
Debit Note For Short Supply Rs 445438,Debit Note
Credit Adjustment Note Rs 244565,Credit Note
Wholesale Sale to Deloitte Rs 491993,B2B
Import Goods From Singapore Rs 380688,Import
Exempt Supply Bill Rs 214070,Exempt Supply
Import Material Invoice Singapore Rs 76299,Import
Retail Sale Invoice Rs 130879,B2C
Retail Sale Invoice Rs 311765,B2C
Import Purchase Bill Australia Rs 56383,Import
Credit Note Against Invoice Rs 390717,Credit Note
Sales Return Credit Note Rs 212458,Credit Note
Customer Credit Note Rs 127001,Credit Note
Corporate Invoice for IBM Rs 495216,B2B
GST Tax Payment Rs 189003,GST Payment
Legal Service Under RCM Rs 240389,Reverse Charge
Customer Credit Note Rs 176090,Credit Note
Credit Adjustment Note Rs 393051,Credit Note
Import Goods From Germany Rs 294073,Import
GST Liability Payment Rs 305756,GST Payment
Healthcare Service Invoice Rs 190033,Exempt Supply
Corporate Invoice for Adani Rs 477350,B2B
Vendor Debit Note Rs 455053,Debit Note
RCM Professional Fees Rs 123631,Reverse Charge
Cash Sale Bill Rs 294306,B2C
GST Refund Received Rs 405992,GST Refund
Medical Service Exempt Invoice Rs 287822,Exempt Supply
Export Invoice to Germany Rs 396308,Export
Debit Note For Freight Rs 39630,Debit Note
Debit Note For Freight Rs 368381,Debit Note
Sales Return Credit Note Rs 451624,Credit Note
RCM Professional Fees Rs 208118,Reverse Charge
Cash Sale Bill Rs 324160,B2C
GST Challan Payment Rs 475057,GST Payment
Input GST Refund Rs 245813,GST Refund
Customer Purchase Bill Rs 176544,B2C
Tax Invoice issued to Google Rs 389414,B2B
Debit Note For Short Supply Rs 343332,Debit Note
GST Liability Payment Rs 463573,GST Payment
LUT Export Invoice to Japan Rs 104452,Export
GST Invoice to Adani Rs 270236,B2B
Input GST Refund Rs 124178,GST Refund
Overseas Supplier Invoice UK Rs 288977,Import
Credit Note Against Invoice Rs 493228,Credit Note
GST Tax Payment Rs 122904,GST Payment
Debit Note For Short Supply Rs 194593,Debit Note
Vendor Debit Note Rs 4975,Debit Note
Export Supply Invoice Germany Rs 124568,Export
Credit Note Against Invoice Rs 343871,Credit Note
Overseas Supplier Invoice Australia Rs 80478,Import
Customer Purchase Bill Rs 265335,B2C
Export Supply Invoice Japan Rs 462898,Export
Customer Purchase Bill Rs 100911,B2C
Tax Invoice issued to Adani Rs 148314,B2B
Import Material Invoice UK Rs 125572,Import
GST Invoice to Oracle Rs 483393,B2B
Customer Credit Note Rs 367812,Credit Note
Advocate Invoice RCM Rs 354820,Reverse Charge
Customer Credit Note Rs 457847,Credit Note
Medical Service Exempt Invoice Rs 383979,Exempt Supply
Export Supply Invoice Germany Rs 203165,Export
Credit Adjustment Note Rs 193748,Credit Note
International Sale to UK Rs 498330,Export
Overseas Supplier Invoice Canada Rs 222598,Import
Education Service Invoice Rs 422622,Exempt Supply
Vendor Debit Note Rs 336376,Debit Note
Debit Note For Short Supply Rs 118304,Debit Note
Consumer Invoice Rs 428972,B2C
Export GST Refund Rs 419445,GST Refund
Debit Note For Freight Rs 347302,Debit Note
Import Goods From UK Rs 254741,Import
Reverse Charge GST Service Rs 226058,Reverse Charge
Export Supply Invoice Japan Rs 273213,Export
Wholesale Sale to Wipro Rs 321929,B2B
Customer Credit Note Rs 33330,Credit Note
Credit Adjustment Note Rs 257951,Credit Note
Monthly GST Deposit Rs 31795,GST Payment
Import Purchase Bill Australia Rs 431885,Import
Import Material Invoice Japan Rs 186303,Import
GST Refund Received Rs 295148,GST Refund
LUT Export Invoice to Germany Rs 24473,Export
Medical Service Exempt Invoice Rs 196399,Exempt Supply
GST Invoice to Infosys Rs 154442,B2B
Corporate Invoice for Oracle Rs 184381,B2B
GST Challan Payment Rs 418636,GST Payment
Monthly GST Deposit Rs 315183,GST Payment
Medical Service Exempt Invoice Rs 62935,Exempt Supply
Credit Note Against Invoice Rs 435321,Credit Note
Credit Note Against Invoice Rs 272319,Credit Note
Education Service Invoice Rs 28876,Exempt Supply
Corporate Invoice for Flipkart Rs 87251,B2B
Purchase Adjustment Debit Note Rs 151020,Debit Note
Credit Note Against Invoice Rs 323828,Credit Note
Education Service Invoice Rs 288446,Exempt Supply
Legal Service Under RCM Rs 499712,Reverse Charge
Import Purchase Bill Singapore Rs 132625,Import
Tax Invoice issued to TCS Rs 122228,B2B
Consumer Invoice Rs 293581,B2C
Export Supply Invoice Japan Rs 150483,Export
Legal Service Under RCM Rs 77509,Reverse Charge
Advocate Invoice RCM Rs 175628,Reverse Charge
Healthcare Service Invoice Rs 426866,Exempt Supply
Exempt Supply Bill Rs 57108,Exempt Supply
LUT Export Invoice to Germany Rs 119286,Export
Exempt Supply Bill Rs 161284,Exempt Supply
Debit Note For Short Supply Rs 181087,Debit Note
International Sale to Singapore Rs 302274,Export
Tax Invoice issued to TCS Rs 11881,B2B
GST Tax Payment Rs 289397,GST Payment
Debit Note For Short Supply Rs 141496,Debit Note
Corporate Invoice for TCS Rs 15872,B2B
GST Claim Refund Rs 303990,GST Refund
Debit Note For Short Supply Rs 386868,Debit Note
Education Service Invoice Rs 330627,Exempt Supply
LUT Export Invoice to USA Rs 221393,Export
Export GST Refund Rs 390404,GST Refund
Import Purchase Bill Japan Rs 255892,Import
RCM Professional Fees Rs 304894,Reverse Charge
Vendor Debit Note Rs 357649,Debit Note
Legal Service Under RCM Rs 150506,Reverse Charge
Input GST Refund Rs 22118,GST Refund
Customer Credit Note Rs 201038,Credit Note
Healthcare Service Invoice Rs 310441,Exempt Supply
Cash Sale Bill Rs 161211,B2C
Import Material Invoice Japan Rs 425347,Import
Reverse Charge GST Service Rs 39537,Reverse Charge
Cash Sale Bill Rs 121744,B2C
GST Invoice to Deloitte Rs 385203,B2B
Advocate Invoice RCM Rs 350011,Reverse Charge
International Sale to Germany Rs 60792,Export
Medical Service Exempt Invoice Rs 149236,Exempt Supply
GST Challan Payment Rs 445047,GST Payment
Consumer Invoice Rs 217469,B2C
GST Invoice to Accenture Rs 389616,B2B
Import Material Invoice UK Rs 307902,Import
Debit Note For Freight Rs 445825,Debit Note
GST Liability Payment Rs 184954,GST Payment
LUT Export Invoice to Australia Rs 115598,Export
Reverse Charge GST Service Rs 261985,Reverse Charge
Medical Service Exempt Invoice Rs 215984,Exempt Supply
Import Material Invoice Canada Rs 119009,Import
Medical Service Exempt Invoice Rs 69005,Exempt Supply
Import Material Invoice Singapore Rs 68976,Import
Advocate Invoice RCM Rs 128151,Reverse Charge
GST Liability Payment Rs 164620,GST Payment
Purchase Adjustment Debit Note Rs 489169,Debit Note
Export GST Refund Rs 240904,GST Refund
Input GST Refund Rs 384325,GST Refund
Reverse Charge GST Service Rs 406632,Reverse Charge
Monthly GST Deposit Rs 206560,GST Payment
Exempt Supply Bill Rs 429185,Exempt Supply
Sales Return Credit Note Rs 155590,Credit Note
Reverse Charge GST Service Rs 8882,Reverse Charge
GST Invoice to Accenture Rs 303696,B2B
Credit Adjustment Note Rs 153029,Credit Note
Purchase Adjustment Debit Note Rs 233863,Debit Note
Credit Note Against Invoice Rs 102783,Credit Note
Advocate Invoice RCM Rs 424365,Reverse Charge
Sales Return Credit Note Rs 211567,Credit Note
Customer Credit Note Rs 342793,Credit Note
Corporate Invoice for TCS Rs 495473,B2B
Medical Service Exempt Invoice Rs 75995,Exempt Supply
Advocate Invoice RCM Rs 373691,Reverse Charge
International Sale to UK Rs 4772,Export
Debit Note For Short Supply Rs 122433,Debit Note
GST Challan Payment Rs 405185,GST Payment
Advocate Invoice RCM Rs 279818,Reverse Charge
Tax Invoice issued to Tata Steel Rs 61789,B2B
Export GST Refund Rs 175180,GST Refund
Export GST Refund Rs 412925,GST Refund
Export Invoice to UK Rs 204073,Export
Advocate Invoice RCM Rs 171869,Reverse Charge
Debit Note For Short Supply Rs 131135,Debit Note
Corporate Invoice for Flipkart Rs 360403,B2B
Tax Invoice issued to Accenture Rs 307487,B2B
International Sale to Australia Rs 219691,Export
Healthcare Service Invoice Rs 137577,Exempt Supply
Consumer Invoice Rs 292913,B2C
Education Service Invoice Rs 111005,Exempt Supply
Debit Note For Short Supply Rs 397769,Debit Note
Healthcare Service Invoice Rs 179020,Exempt Supply
Wholesale Sale to Infosys Rs 3095,B2B
Purchase Adjustment Debit Note Rs 451107,Debit Note
Education Service Invoice Rs 443317,Exempt Supply
Vendor Debit Note Rs 386294,Debit Note
LUT Export Invoice to Australia Rs 318582,Export
Cash Sale Bill Rs 371672,B2C
GST Challan Payment Rs 86439,GST Payment
Credit Note Against Invoice Rs 492889,Credit Note
Advocate Invoice RCM Rs 221572,Reverse Charge
Credit Note Against Invoice Rs 456272,Credit Note
Export GST Refund Rs 89579,GST Refund
Medical Service Exempt Invoice Rs 474771,Exempt Supply
Overseas Supplier Invoice Singapore Rs 235660,Import
Retail Sale Invoice Rs 354750,B2C
Reverse Charge GST Service Rs 465552,Reverse Charge
Cash Sale Bill Rs 90229,B2C
RCM Professional Fees Rs 461787,Reverse Charge
GST Tax Payment Rs 33121,GST Payment
Export GST Refund Rs 308301,GST Refund
Corporate Invoice for Accenture Rs 401329,B2B
International Sale to Canada Rs 419737,Export
Overseas Supplier Invoice Singapore Rs 62316,Import
Exempt Supply Bill Rs 492768,Exempt Supply
Healthcare Service Invoice Rs 187556,Exempt Supply
Export Supply Invoice Singapore Rs 302867,Export
Reverse Charge GST Service Rs 157492,Reverse Charge
Credit Note Against Invoice Rs 199117,Credit Note
LUT Export Invoice to Singapore Rs 46397,Export
Education Service Invoice Rs 203994,Exempt Supply
Debit Note For Short Supply Rs 208521,Debit Note
Tax Invoice issued to Amazon Rs 191525,B2B
Advocate Invoice RCM Rs 328671,Reverse Charge
Education Service Invoice Rs 449516,Exempt Supply
LUT Export Invoice to Canada Rs 154634,Export
Sales Return Credit Note Rs 400561,Credit Note
Healthcare Service Invoice Rs 126672,Exempt Supply
Import Purchase Bill USA Rs 356763,Import
GST Tax Payment Rs 421275,GST Payment
LUT Export Invoice to USA Rs 136226,Export
GST Liability Payment Rs 235539,GST Payment
Corporate Invoice for Reliance Rs 217768,B2B
Debit Note For Short Supply Rs 372513,Debit Note
GST Liability Payment Rs 408245,GST Payment
Import Material Invoice Germany Rs 339953,Import
Corporate Invoice for Infosys Rs 189429,B2B
Import Material Invoice USA Rs 271694,Import
GST Refund Received Rs 175405,GST Refund
Credit Adjustment Note Rs 20667,Credit Note
Corporate Invoice for Tata Steel Rs 209185,B2B
Reverse Charge GST Service Rs 417890,Reverse Charge
Customer Credit Note Rs 268551,Credit Note
Cash Sale Bill Rs 358889,B2C
Cash Sale Bill Rs 376848,B2C
Education Service Invoice Rs 405304,Exempt Supply
Export Supply Invoice Australia Rs 258602,Export
Wholesale Sale to Flipkart Rs 119007,B2B
GST Liability Payment Rs 398412,GST Payment
Retail Sale Invoice Rs 335305,B2C
Export GST Refund Rs 38448,GST Refund
Customer Credit Note Rs 121180,Credit Note
Customer Purchase Bill Rs 331377,B2C
GST Claim Refund Rs 423363,GST Refund
RCM Professional Fees Rs 105486,Reverse Charge
Education Service Invoice Rs 126777,Exempt Supply
Advocate Invoice RCM Rs 250165,Reverse Charge
Medical Service Exempt Invoice Rs 83536,Exempt Supply
Vendor Debit Note Rs 144721,Debit Note
Legal Service Under RCM Rs 255330,Reverse Charge
GST Claim Refund Rs 496144,GST Refund
Retail Sale Invoice Rs 445628,B2C
RCM Professional Fees Rs 249684,Reverse Charge
Credit Note Against Invoice Rs 458505,Credit Note
GST Refund Received Rs 377343,GST Refund
Consumer Invoice Rs 15398,B2C
Import Goods From Canada Rs 333261,Import
Wholesale Sale to Deloitte Rs 388540,B2B
GST Invoice to Deloitte Rs 39117,B2B
Import Purchase Bill Australia Rs 127708,Import
Education Service Invoice Rs 316626,Exempt Supply
Sales Return Credit Note Rs 332855,Credit Note
RCM Professional Fees Rs 250592,Reverse Charge
Legal Service Under RCM Rs 26290,Reverse Charge
Healthcare Service Invoice Rs 267494,Exempt Supply
GST Refund Received Rs 274087,GST Refund
GST Claim Refund Rs 464880,GST Refund
GST Refund Received Rs 257690,GST Refund
Monthly GST Deposit Rs 449086,GST Payment
Healthcare Service Invoice Rs 198063,Exempt Supply
LUT Export Invoice to Australia Rs 480817,Export
Export GST Refund Rs 85110,GST Refund
Debit Note For Freight Rs 385194,Debit Note
Reverse Charge GST Service Rs 379769,Reverse Charge
GST Tax Payment Rs 308064,GST Payment
Healthcare Service Invoice Rs 334848,Exempt Supply
RCM Professional Fees Rs 396843,Reverse Charge
Advocate Invoice RCM Rs 324077,Reverse Charge
Monthly GST Deposit Rs 351317,GST Payment
Overseas Supplier Invoice UK Rs 454107,Import
Exempt Supply Bill Rs 179220,Exempt Supply
GST Tax Payment Rs 337647,GST Payment
Advocate Invoice RCM Rs 176690,Reverse Charge
Reverse Charge GST Service Rs 478803,Reverse Charge
Cash Sale Bill Rs 245390,B2C
Overseas Supplier Invoice Australia Rs 483637,Import
Export GST Refund Rs 248528,GST Refund
Input GST Refund Rs 183980,GST Refund
Import Material Invoice Canada Rs 491559,Import
GST Liability Payment Rs 355014,GST Payment
GST Challan Payment Rs 250414,GST Payment
Credit Adjustment Note Rs 59461,Credit Note
Overseas Supplier Invoice Singapore Rs 155865,Import
Import Purchase Bill Japan Rs 391718,Import
Monthly GST Deposit Rs 183220,GST Payment
Export GST Refund Rs 464335,GST Refund
Input GST Refund Rs 424976,GST Refund
GST Tax Payment Rs 128846,GST Payment
Medical Service Exempt Invoice Rs 312876,Exempt Supply
GST Challan Payment Rs 246258,GST Payment
Export GST Refund Rs 173775,GST Refund
GST Liability Payment Rs 50741,GST Payment
GST Refund Received Rs 448357,GST Refund
Legal Service Under RCM Rs 356569,Reverse Charge
GST Liability Payment Rs 426851,GST Payment
Healthcare Service Invoice Rs 218967,Exempt Supply
Education Service Invoice Rs 95688,Exempt Supply
Advocate Invoice RCM Rs 247373,Reverse Charge
Healthcare Service Invoice Rs 43255,Exempt Supply
Import Material Invoice Australia Rs 142116,Import
Import Goods From Australia Rs 193550,Import
Debit Note For Freight Rs 230251,Debit Note
Medical Service Exempt Invoice Rs 80813,Exempt Supply
Export Invoice to Australia Rs 47930,Export
Import Goods From Australia Rs 295616,Import
LUT Export Invoice to Germany Rs 128196,Export
Debit Note For Short Supply Rs 239942,Debit Note
Monthly GST Deposit Rs 141870,GST Payment
RCM Professional Fees Rs 48308,Reverse Charge
Debit Note For Freight Rs 492092,Debit Note
LUT Export Invoice to UK Rs 165909,Export
Purchase Adjustment Debit Note Rs 249849,Debit Note
Export Invoice to Japan Rs 284088,Export
Vendor Debit Note Rs 328270,Debit Note
Legal Service Under RCM Rs 394484,Reverse Charge
Overseas Supplier Invoice Singapore Rs 434616,Import
Healthcare Service Invoice Rs 102263,Exempt Supply
GST Refund Received Rs 446733,GST Refund
Export Supply Invoice Germany Rs 429341,Export
Legal Service Under RCM Rs 296693,Reverse Charge
Wholesale Sale to Accenture Rs 219178,B2B
Debit Note For Freight Rs 454178,Debit Note
Export Invoice to UK Rs 188046,Export
Monthly GST Deposit Rs 325630,GST Payment
Import Purchase Bill UK Rs 9201,Import
Credit Adjustment Note Rs 57019,Credit Note
Export GST Refund Rs 492224,GST Refund
Reverse Charge GST Service Rs 429319,Reverse Charge
Export GST Refund Rs 478268,GST Refund
Credit Note Against Invoice Rs 499777,Credit Note
GST Claim Refund Rs 385462,GST Refund
Vendor Debit Note Rs 105932,Debit Note
Retail Sale Invoice Rs 2500,B2C
Customer Purchase Bill Rs 489266,B2C
Overseas Supplier Invoice UK Rs 458628,Import
Sales Return Credit Note Rs 409358,Credit Note
Cash Sale Bill Rs 174176,B2C
Import Goods From Australia Rs 195054,Import
Education Service Invoice Rs 118626,Exempt Supply
Monthly GST Deposit Rs 264602,GST Payment
Purchase Adjustment Debit Note Rs 188730,Debit Note
RCM Professional Fees Rs 28007,Reverse Charge
Import Material Invoice USA Rs 154552,Import
Exempt Supply Bill Rs 281731,Exempt Supply
Import Material Invoice USA Rs 302648,Import
Reverse Charge GST Service Rs 328500,Reverse Charge
Credit Adjustment Note Rs 246667,Credit Note
GST Claim Refund Rs 112444,GST Refund
Import Purchase Bill Canada Rs 484460,Import
Import Goods From Singapore Rs 236532,Import
GST Invoice to Infosys Rs 28026,B2B
Customer Credit Note Rs 258259,Credit Note
Advocate Invoice RCM Rs 27373,Reverse Charge
GST Refund Received Rs 74456,GST Refund
Export Supply Invoice UK Rs 79066,Export
LUT Export Invoice to USA Rs 8387,Export
Vendor Debit Note Rs 340094,Debit Note
Debit Note For Short Supply Rs 372771,Debit Note
Credit Note Against Invoice Rs 412908,Credit Note
Import Material Invoice Australia Rs 496880,Import
Consumer Invoice Rs 259750,B2C
GST Invoice to Adani Rs 360454,B2B
Vendor Debit Note Rs 377513,Debit Note
Corporate Invoice for IBM Rs 336080,B2B
Debit Note For Freight Rs 334480,Debit Note
Cash Sale Bill Rs 21249,B2C
Input GST Refund Rs 424319,GST Refund
Advocate Invoice RCM Rs 383250,Reverse Charge
Retail Sale Invoice Rs 407156,B2C
Cash Sale Bill Rs 96642,B2C
Export Invoice to USA Rs 19287,Export
Reverse Charge GST Service Rs 235928,Reverse Charge
Retail Sale Invoice Rs 433915,B2C
International Sale to Australia Rs 433127,Export
