Book_Description,Bank_Description,Amount,Match_Status
Office Rent,Unknown Transaction,2725,Not Matched
Office Rent,Investment Transfer,39228,Not Matched
Advertising Expense,Unknown Transaction,66513,Not Matched
GST Payment,GST Challan,88645,Matched
Consultancy Fees,ATM Withdrawal,60685,Not Matched
GST Payment,GST Challan,85834,Matched
Stationery Purchase,Personal Transfer,48438,Not Matched
Travel Expense,Credit Card Payment,19572,Not Matched
Electricity Bill,Electricity Payment,89560,Matched
Office Rent,Cheque Bounce Charge,1865,Not Matched
Office Rent,Interest Debit,63674,Not Matched
Fuel Expense,ATM Withdrawal,35301,Not Matched
Travel Expense,Personal Transfer,57172,Not Matched
Electricity Bill,Electricity Payment,67432,Matched
Advertising Expense,Personal Transfer,64062,Not Matched
Office Rent,UPI Payment,38212,Not Matched
Travel Expense,UPI Payment,15735,Not Matched
Laptop Purchase,Computer Purchase,56151,Matched
Salary Paid,Salary Transfer,38536,Matched
Laptop Purchase,Unknown Transaction,86761,Not Matched
Customer Receipt,Customer Payment,10754,Matched
Insurance Premium,Insurance Payment,71472,Matched
Software Subscription,Software Payment,30332,Matched
Fuel Expense,Unknown Transaction,20771,Not Matched
Electricity Bill,Electricity Payment,43786,Matched
Software Subscription,Software Payment,17342,Matched
Office Rent,Unknown Transaction,47995,Not Matched
Bank Charges,Bank Service Charges,26909,Matched
Salary Paid,Credit Card Payment,3793,Not Matched
Advertising Expense,Unknown Transaction,37789,Not Matched
Laptop Purchase,ATM Withdrawal,77383,Not Matched
GST Payment,Credit Card Payment,85362,Not Matched
Stationery Purchase,Cash Withdrawal,41190,Not Matched
Consultancy Fees,Investment Transfer,54217,Not Matched
Customer Receipt,Customer Payment,5338,Matched
Electricity Bill,Electricity Payment,56234,Matched
GST Payment,GST Challan,9692,Matched
Electricity Bill,Electricity Payment,51721,Matched
Software Subscription,Software Payment,92551,Matched
GST Payment,GST Challan,30616,Matched
Electricity Bill,Electricity Payment,69990,Matched
Customer Receipt,Customer Payment,70781,Matched
Travel Expense,Cash Withdrawal,17255,Not Matched
GST Payment,Cash Withdrawal,95027,Not Matched
Customer Receipt,Customer Payment,31279,Matched
Advertising Expense,Cash Withdrawal,88545,Not Matched
Staff Welfare,Cheque Bounce Charge,87482,Not Matched
Laptop Purchase,Loan EMI,18250,Not Matched
Salary Paid,Salary Transfer,57587,Matched
Office Rent,Rent Payment,34157,Matched
Internet Expense,Internet Bill Payment,40052,Matched
GST Payment,Personal Transfer,53806,Not Matched
Laptop Purchase,Computer Purchase,4309,Matched
Electricity Bill,Electricity Payment,76283,Matched
Insurance Premium,Insurance Payment,91630,Matched
Advertising Expense,Unknown Transaction,37656,Not Matched
Electricity Bill,Electricity Payment,87487,Matched
Consultancy Fees,Loan EMI,32713,Not Matched
Office Rent,Loan EMI,96589,Not Matched
Stationery Purchase,ATM Withdrawal,13476,Not Matched
Staff Welfare,Cash Withdrawal,10022,Not Matched
Electricity Bill,Electricity Payment,31396,Matched
Internet Expense,Internet Bill Payment,67809,Matched
Advertising Expense,Cheque Bounce Charge,90117,Not Matched
Software Subscription,Software Payment,96390,Matched
Electricity Bill,Electricity Payment,38280,Matched
Software Subscription,Software Payment,12405,Matched
Insurance Premium,Insurance Payment,46265,Matched
Advertising Expense,ATM Withdrawal,50535,Not Matched
Insurance Premium,Insurance Payment,61889,Matched
Consultancy Fees,Personal Transfer,4053,Not Matched
Salary Paid,Interest Debit,65626,Not Matched
Laptop Purchase,Credit Card Payment,83097,Not Matched
Office Rent,Credit Card Payment,50665,Not Matched
Stationery Purchase,Cash Withdrawal,61681,Not Matched
GST Payment,Loan EMI,81005,Not Matched
Travel Expense,Interest Debit,73752,Not Matched
Advertising Expense,Unknown Transaction,79636,Not Matched
GST Payment,Investment Transfer,54492,Not Matched
Salary Paid,Salary Transfer,90755,Matched
Insurance Premium,Insurance Payment,85801,Matched
Staff Welfare,Interest Debit,61432,Not Matched
Customer Receipt,Customer Payment,32158,Matched
Fuel Expense,Investment Transfer,37966,Not Matched
Internet Expense,Internet Bill Payment,31188,Matched
Office Rent,ATM Withdrawal,8439,Not Matched
Software Subscription,Software Payment,53135,Matched
Customer Receipt,Customer Payment,21142,Matched
Fuel Expense,Cash Withdrawal,47810,Not Matched
Internet Expense,Internet Bill Payment,84968,Matched
Office Rent,Investment Transfer,86989,Not Matched
Software Subscription,Software Payment,66154,Matched
Laptop Purchase,ATM Withdrawal,58970,Not Matched
GST Payment,GST Challan,60707,Matched
Fuel Expense,Investment Transfer,82952,Not Matched
Software Subscription,Software Payment,26880,Matched
Software Subscription,Software Payment,62316,Matched
Office Rent,Credit Card Payment,12360,Not Matched
GST Payment,GST Challan,60519,Matched
GST Payment,GST Challan,4763,Matched
Stationery Purchase,Personal Transfer,44760,Not Matched
Salary Paid,Salary Transfer,74815,Matched
Consultancy Fees,Loan EMI,76925,Not Matched
Salary Paid,ATM Withdrawal,1030,Not Matched
Salary Paid,ATM Withdrawal,76120,Not Matched
Electricity Bill,Electricity Payment,12590,Matched
Customer Receipt,Customer Payment,94433,Matched
Travel Expense,Credit Card Payment,12440,Not Matched
Insurance Premium,Insurance Payment,72108,Matched
Salary Paid,Salary Transfer,18438,Matched
Electricity Bill,Electricity Payment,9512,Matched
Office Rent,Investment Transfer,42444,Not Matched
Consultancy Fees,Personal Transfer,26711,Not Matched
Office Rent,Rent Payment,9686,Matched
Consultancy Fees,Loan EMI,89469,Not Matched
Stationery Purchase,Credit Card Payment,66950,Not Matched
Fuel Expense,Cash Withdrawal,71505,Not Matched
Office Rent,Cheque Bounce Charge,81900,Not Matched
Advertising Expense,Loan EMI,8627,Not Matched
GST Payment,Interest Debit,15016,Not Matched
Software Subscription,Software Payment,29595,Matched
Customer Receipt,Customer Payment,23312,Matched
Fuel Expense,Interest Debit,56047,Not Matched
Customer Receipt,Customer Payment,63227,Matched
Staff Welfare,Interest Debit,73070,Not Matched
Consultancy Fees,Credit Card Payment,18698,Not Matched
Travel Expense,Cash Withdrawal,39418,Not Matched
Electricity Bill,Electricity Payment,85189,Matched
Office Rent,Rent Payment,82087,Matched
Fuel Expense,Investment Transfer,83558,Not Matched
Salary Paid,Credit Card Payment,67060,Not Matched
GST Payment,ATM Withdrawal,7191,Not Matched
GST Payment,Credit Card Payment,48893,Not Matched
Electricity Bill,Electricity Payment,23140,Matched
Software Subscription,Software Payment,93963,Matched
Insurance Premium,Insurance Payment,82572,Matched
Stationery Purchase,Interest Debit,43317,Not Matched
Fuel Expense,Cash Withdrawal,33111,Not Matched
Salary Paid,Salary Transfer,28528,Matched
Bank Charges,Bank Service Charges,27511,Matched
Internet Expense,Internet Bill Payment,61706,Matched
Office Rent,Rent Payment,63283,Matched
Electricity Bill,Electricity Payment,97110,Matched
Stationery Purchase,Interest Debit,77009,Not Matched
Office Rent,Credit Card Payment,51600,Not Matched
Staff Welfare,Investment Transfer,20922,Not Matched
Laptop Purchase,Investment Transfer,20612,Not Matched
Stationery Purchase,Cash Withdrawal,21144,Not Matched
Consultancy Fees,Unknown Transaction,20575,Not Matched
Insurance Premium,Insurance Payment,49014,Matched
Salary Paid,Cash Withdrawal,78223,Not Matched
Travel Expense,ATM Withdrawal,75387,Not Matched
Office Rent,Rent Payment,34844,Matched
Travel Expense,Credit Card Payment,42672,Not Matched
Salary Paid,Salary Transfer,11241,Matched
Salary Paid,Interest Debit,17673,Not Matched
Fuel Expense,Cheque Bounce Charge,13800,Not Matched
Insurance Premium,Insurance Payment,32566,Matched
Office Rent,Rent Payment,54678,Matched
GST Payment,Unknown Transaction,91447,Not Matched
GST Payment,Cash Withdrawal,45913,Not Matched
Stationery Purchase,Cash Withdrawal,27691,Not Matched
Salary Paid,Investment Transfer,79105,Not Matched
Laptop Purchase,Computer Purchase,35633,Matched
Staff Welfare,ATM Withdrawal,56965,Not Matched
Bank Charges,Bank Service Charges,37922,Matched
Office Rent,Rent Payment,75588,Matched
Customer Receipt,Customer Payment,76468,Matched
Office Rent,Rent Payment,17710,Matched
Insurance Premium,Insurance Payment,14175,Matched
Electricity Bill,Electricity Payment,43080,Matched
Staff Welfare,Investment Transfer,11256,Not Matched
Bank Charges,Bank Service Charges,51213,Matched
Office Rent,Rent Payment,39511,Matched
GST Payment,GST Challan,1111,Matched
Travel Expense,Credit Card Payment,53432,Not Matched
Staff Welfare,Cheque Bounce Charge,97823,Not Matched
GST Payment,Personal Transfer,68608,Not Matched
Office Rent,Personal Transfer,3007,Not Matched
Office Rent,Rent Payment,48136,Matched
Customer Receipt,Customer Payment,47711,Matched
Advertising Expense,Investment Transfer,87684,Not Matched
Laptop Purchase,Computer Purchase,19658,Matched
Salary Paid,Loan EMI,31998,Not Matched
Office Rent,Loan EMI,35944,Not Matched
Customer Receipt,Customer Payment,73220,Matched
Electricity Bill,Electricity Payment,48780,Matched
Laptop Purchase,Investment Transfer,71238,Not Matched
Laptop Purchase,Computer Purchase,73374,Matched
Staff Welfare,Cash Withdrawal,9974,Not Matched
Staff Welfare,Cheque Bounce Charge,19557,Not Matched
Internet Expense,Internet Bill Payment,20431,Matched
Consultancy Fees,UPI Payment,56731,Not Matched
Laptop Purchase,Computer Purchase,19984,Matched
Office Rent,Rent Payment,2474,Matched
Office Rent,Rent Payment,43961,Matched
Insurance Premium,Insurance Payment,66513,Matched
Bank Charges,Bank Service Charges,54541,Matched
Internet Expense,Internet Bill Payment,82565,Matched
Office Rent,ATM Withdrawal,67494,Not Matched
GST Payment,ATM Withdrawal,58987,Not Matched
Customer Receipt,Customer Payment,95740,Matched
Laptop Purchase,Computer Purchase,74550,Matched
Consultancy Fees,UPI Payment,65030,Not Matched
Salary Paid,Salary Transfer,49670,Matched
Staff Welfare,Interest Debit,77587,Not Matched
Office Rent,Rent Payment,16760,Matched
Insurance Premium,Insurance Payment,30610,Matched
Customer Receipt,Customer Payment,60751,Matched
GST Payment,Cash Withdrawal,24264,Not Matched
Bank Charges,Bank Service Charges,94468,Matched
Laptop Purchase,Computer Purchase,36648,Matched
GST Payment,Unknown Transaction,23092,Not Matched
Office Rent,Rent Payment,5380,Matched
Internet Expense,Internet Bill Payment,55845,Matched
Stationery Purchase,Credit Card Payment,58981,Not Matched
Salary Paid,Loan EMI,98860,Not Matched
Internet Expense,Internet Bill Payment,26548,Matched
Laptop Purchase,Computer Purchase,5362,Matched
Fuel Expense,Loan EMI,7450,Not Matched
Office Rent,Unknown Transaction,85649,Not Matched
Software Subscription,Software Payment,24913,Matched
Office Rent,Rent Payment,95942,Matched
Customer Receipt,Customer Payment,84926,Matched
Advertising Expense,ATM Withdrawal,24366,Not Matched
Office Rent,Cash Withdrawal,13980,Not Matched
Staff Welfare,Cash Withdrawal,8512,Not Matched
Laptop Purchase,Computer Purchase,1037,Matched
Salary Paid,ATM Withdrawal,61204,Not Matched
Salary Paid,Loan EMI,51960,Not Matched
Office Rent,Rent Payment,83775,Matched
Bank Charges,Bank Service Charges,88151,Matched
Internet Expense,Internet Bill Payment,38023,Matched
Customer Receipt,Customer Payment,69147,Matched
Travel Expense,Cheque Bounce Charge,1703,Not Matched
Internet Expense,Internet Bill Payment,48978,Matched
Bank Charges,Bank Service Charges,8170,Matched
Laptop Purchase,Personal Transfer,63154,Not Matched
Fuel Expense,Cheque Bounce Charge,44584,Not Matched
Internet Expense,Internet Bill Payment,20586,Matched
Staff Welfare,Personal Transfer,81526,Not Matched
Stationery Purchase,Investment Transfer,90104,Not Matched
GST Payment,GST Challan,91256,Matched
Salary Paid,Credit Card Payment,95723,Not Matched
Customer Receipt,Customer Payment,17705,Matched
Advertising Expense,Unknown Transaction,83908,Not Matched
Stationery Purchase,Investment Transfer,89047,Not Matched
Staff Welfare,Investment Transfer,39099,Not Matched
Fuel Expense,UPI Payment,61580,Not Matched
Bank Charges,Bank Service Charges,52868,Matched
Software Subscription,Software Payment,96390,Matched
Office Rent,Rent Payment,60085,Matched
Consultancy Fees,Cash Withdrawal,2161,Not Matched
Advertising Expense,Credit Card Payment,68617,Not Matched
Office Rent,UPI Payment,35084,Not Matched
Laptop Purchase,Computer Purchase,57960,Matched
Customer Receipt,Customer Payment,84157,Matched
Bank Charges,Bank Service Charges,86173,Matched
Customer Receipt,Customer Payment,93184,Matched
Laptop Purchase,Computer Purchase,45797,Matched
Travel Expense,ATM Withdrawal,29342,Not Matched
Fuel Expense,Loan EMI,40649,Not Matched
Consultancy Fees,Investment Transfer,43539,Not Matched
Staff Welfare,Personal Transfer,79401,Not Matched
Customer Receipt,Customer Payment,21227,Matched
Salary Paid,Interest Debit,12611,Not Matched
Consultancy Fees,Unknown Transaction,47262,Not Matched
Advertising Expense,Credit Card Payment,25108,Not Matched
Fuel Expense,Loan EMI,64195,Not Matched
Staff Welfare,Credit Card Payment,58157,Not Matched
Bank Charges,Bank Service Charges,88035,Matched
Office Rent,Loan EMI,90196,Not Matched
Software Subscription,Software Payment,25272,Matched
Salary Paid,Salary Transfer,40552,Matched
Travel Expense,Cheque Bounce Charge,58508,Not Matched
Staff Welfare,Loan EMI,20661,Not Matched
GST Payment,UPI Payment,35150,Not Matched
Laptop Purchase,Computer Purchase,62917,Matched
Customer Receipt,Customer Payment,9612,Matched
Internet Expense,Internet Bill Payment,8855,Matched
Salary Paid,Cash Withdrawal,4855,Not Matched
GST Payment,Investment Transfer,90260,Not Matched
Salary Paid,Credit Card Payment,24809,Not Matched
Staff Welfare,ATM Withdrawal,72739,Not Matched
Software Subscription,Software Payment,72327,Matched
Insurance Premium,Insurance Payment,84565,Matched
Office Rent,Cheque Bounce Charge,29473,Not Matched
Laptop Purchase,Cash Withdrawal,57463,Not Matched
Customer Receipt,Customer Payment,2166,Matched
Laptop Purchase,Computer Purchase,57717,Matched
Laptop Purchase,Computer Purchase,7948,Matched
Stationery Purchase,Investment Transfer,56662,Not Matched
Staff Welfare,Interest Debit,43504,Not Matched
Fuel Expense,Cash Withdrawal,1689,Not Matched
Consultancy Fees,Interest Debit,92762,Not Matched
Internet Expense,Internet Bill Payment,16700,Matched
Customer Receipt,Customer Payment,53611,Matched
Laptop Purchase,Computer Purchase,39047,Matched
Stationery Purchase,Unknown Transaction,24919,Not Matched
Travel Expense,Unknown Transaction,26628,Not Matched
Insurance Premium,Insurance Payment,45111,Matched
Salary Paid,Salary Transfer,82287,Matched
GST Payment,GST Challan,15962,Matched
Laptop Purchase,Loan EMI,33565,Not Matched
Insurance Premium,Insurance Payment,80431,Matched
Customer Receipt,Customer Payment,7938,Matched
Office Rent,Rent Payment,27410,Matched
Customer Receipt,Customer Payment,93638,Matched
Office Rent,Rent Payment,28705,Matched
Software Subscription,Software Payment,83591,Matched
Salary Paid,Salary Transfer,56267,Matched
GST Payment,GST Challan,19147,Matched
Laptop Purchase,Cash Withdrawal,80058,Not Matched
Office Rent,Cheque Bounce Charge,69970,Not Matched
Office Rent,Rent Payment,36901,Matched
Software Subscription,Software Payment,31960,Matched
Salary Paid,Salary Transfer,29392,Matched
Laptop Purchase,Interest Debit,75048,Not Matched
GST Payment,Cheque Bounce Charge,82488,Not Matched
Office Rent,Rent Payment,83805,Matched
Consultancy Fees,Cheque Bounce Charge,1850,Not Matched
Office Rent,Loan EMI,29199,Not Matched
Electricity Bill,Electricity Payment,95845,Matched
Salary Paid,UPI Payment,83106,Not Matched
Laptop Purchase,Investment Transfer,84795,Not Matched
Salary Paid,Salary Transfer,84576,Matched
Travel Expense,Cash Withdrawal,49310,Not Matched
Office Rent,UPI Payment,90919,Not Matched
Internet Expense,Internet Bill Payment,7467,Matched
Office Rent,ATM Withdrawal,75322,Not Matched
Electricity Bill,Electricity Payment,32622,Matched
Staff Welfare,Cash Withdrawal,80254,Not Matched
Fuel Expense,Cash Withdrawal,67061,Not Matched
Office Rent,Rent Payment,87094,Matched
Laptop Purchase,Computer Purchase,21564,Matched
Consultancy Fees,Unknown Transaction,15439,Not Matched
Salary Paid,UPI Payment,4684,Not Matched
Internet Expense,Internet Bill Payment,14022,Matched
Software Subscription,Software Payment,88610,Matched
Stationery Purchase,Credit Card Payment,77941,Not Matched
Electricity Bill,Electricity Payment,73363,Matched
Salary Paid,Salary Transfer,28617,Matched
GST Payment,Personal Transfer,72740,Not Matched
Travel Expense,Credit Card Payment,40966,Not Matched
Office Rent,Investment Transfer,90442,Not Matched
Insurance Premium,Insurance Payment,2874,Matched
Customer Receipt,Customer Payment,67257,Matched
GST Payment,GST Challan,20433,Matched
GST Payment,GST Challan,22149,Matched
Salary Paid,Salary Transfer,23645,Matched
Software Subscription,Software Payment,91544,Matched
Laptop Purchase,Computer Purchase,68687,Matched
Internet Expense,Internet Bill Payment,35741,Matched
Laptop Purchase,Computer Purchase,65392,Matched
Insurance Premium,Insurance Payment,97978,Matched
Travel Expense,ATM Withdrawal,57782,Not Matched
Electricity Bill,Electricity Payment,56788,Matched
Travel Expense,Personal Transfer,96967,Not Matched
Bank Charges,Bank Service Charges,54848,Matched
Customer Receipt,Customer Payment,42347,Matched
GST Payment,GST Challan,30091,Matched
Insurance Premium,Insurance Payment,46739,Matched
Consultancy Fees,Investment Transfer,81002,Not Matched
Fuel Expense,ATM Withdrawal,35308,Not Matched
Fuel Expense,Investment Transfer,55045,Not Matched
Office Rent,Rent Payment,29769,Matched
Staff Welfare,ATM Withdrawal,5332,Not Matched
Stationery Purchase,Loan EMI,90517,Not Matched
Electricity Bill,Electricity Payment,17288,Matched
Laptop Purchase,Cheque Bounce Charge,22816,Not Matched
Insurance Premium,Insurance Payment,63316,Matched
Bank Charges,Bank Service Charges,46783,Matched
Salary Paid,Salary Transfer,81987,Matched
Salary Paid,Salary Transfer,39657,Matched
Laptop Purchase,Personal Transfer,30256,Not Matched
Laptop Purchase,Computer Purchase,57389,Matched
Office Rent,Rent Payment,4715,Matched
Stationery Purchase,Investment Transfer,63857,Not Matched
Customer Receipt,Customer Payment,70908,Matched
Office Rent,Unknown Transaction,87784,Not Matched
Laptop Purchase,Computer Purchase,74296,Matched
Software Subscription,Software Payment,24728,Matched
Consultancy Fees,Investment Transfer,7400,Not Matched
Office Rent,UPI Payment,73051,Not Matched
Office Rent,Investment Transfer,40395,Not Matched
Bank Charges,Bank Service Charges,49986,Matched
Insurance Premium,Insurance Payment,50659,Matched
Advertising Expense,Cheque Bounce Charge,25840,Not Matched
Software Subscription,Software Payment,57352,Matched
Laptop Purchase,Loan EMI,31121,Not Matched
Insurance Premium,Insurance Payment,64526,Matched
Fuel Expense,Unknown Transaction,31720,Not Matched
Stationery Purchase,Cash Withdrawal,89443,Not Matched
Bank Charges,Bank Service Charges,18002,Matched
Customer Receipt,Customer Payment,79464,Matched
Internet Expense,Internet Bill Payment,27381,Matched
Laptop Purchase,Computer Purchase,43418,Matched
Advertising Expense,Investment Transfer,83509,Not Matched
Stationery Purchase,Credit Card Payment,32304,Not Matched
GST Payment,ATM Withdrawal,16806,Not Matched
Consultancy Fees,Investment Transfer,78430,Not Matched
Electricity Bill,Electricity Payment,2377,Matched
Fuel Expense,Cheque Bounce Charge,77730,Not Matched
Travel Expense,ATM Withdrawal,16271,Not Matched
Salary Paid,Salary Transfer,72526,Matched
Internet Expense,Internet Bill Payment,97792,Matched
Salary Paid,Credit Card Payment,3187,Not Matched
Salary Paid,Unknown Transaction,75228,Not Matched
Customer Receipt,Customer Payment,23086,Matched
Salary Paid,Unknown Transaction,39179,Not Matched
Staff Welfare,Credit Card Payment,55430,Not Matched
Office Rent,Loan EMI,1977,Not Matched
Bank Charges,Bank Service Charges,68497,Matched
Consultancy Fees,Loan EMI,68567,Not Matched
GST Payment,GST Challan,9668,Matched
Laptop Purchase,ATM Withdrawal,7634,Not Matched
Stationery Purchase,ATM Withdrawal,35090,Not Matched
Travel Expense,Personal Transfer,6103,Not Matched
Advertising Expense,ATM Withdrawal,34783,Not Matched
GST Payment,GST Challan,65705,Matched
Travel Expense,Investment Transfer,91977,Not Matched
Office Rent,Rent Payment,59251,Matched
Office Rent,Rent Payment,93555,Matched
Staff Welfare,Interest Debit,25363,Not Matched
Insurance Premium,Insurance Payment,41429,Matched
Office Rent,Rent Payment,97983,Matched
Advertising Expense,Interest Debit,76945,Not Matched
Customer Receipt,Customer Payment,50020,Matched
Travel Expense,Credit Card Payment,25275,Not Matched
GST Payment,Investment Transfer,6325,Not Matched
Office Rent,Rent Payment,68009,Matched
GST Payment,GST Challan,87705,Matched
Insurance Premium,Insurance Payment,12305,Matched
Stationery Purchase,UPI Payment,22929,Not Matched
Laptop Purchase,ATM Withdrawal,61525,Not Matched
Salary Paid,Salary Transfer,9943,Matched
Salary Paid,Cheque Bounce Charge,81856,Not Matched
Office Rent,UPI Payment,17656,Not Matched
Laptop Purchase,Computer Purchase,81815,Matched
Laptop Purchase,ATM Withdrawal,12484,Not Matched
Salary Paid,Salary Transfer,58236,Matched
Staff Welfare,UPI Payment,10047,Not Matched
Fuel Expense,Personal Transfer,21903,Not Matched
GST Payment,Personal Transfer,59995,Not Matched
Fuel Expense,Cash Withdrawal,88831,Not Matched
Consultancy Fees,Unknown Transaction,24354,Not Matched
GST Payment,Credit Card Payment,25159,Not Matched
Travel Expense,Interest Debit,4580,Not Matched
Staff Welfare,Cheque Bounce Charge,64656,Not Matched
Salary Paid,Salary Transfer,48833,Matched
Office Rent,UPI Payment,22597,Not Matched
GST Payment,GST Challan,15090,Matched
Salary Paid,Salary Transfer,80551,Matched
Laptop Purchase,Investment Transfer,52199,Not Matched
Salary Paid,Salary Transfer,19330,Matched
Consultancy Fees,Credit Card Payment,47885,Not Matched
Laptop Purchase,Computer Purchase,59315,Matched
Laptop Purchase,Computer Purchase,22256,Matched
Laptop Purchase,Computer Purchase,16152,Matched
GST Payment,Personal Transfer,63162,Not Matched
Advertising Expense,Loan EMI,44052,Not Matched
Electricity Bill,Electricity Payment,34234,Matched
Fuel Expense,Loan EMI,10491,Not Matched
Office Rent,Interest Debit,8652,Not Matched
Travel Expense,Interest Debit,7542,Not Matched
Office Rent,Rent Payment,23836,Matched
Salary Paid,Cash Withdrawal,33995,Not Matched
Advertising Expense,UPI Payment,17293,Not Matched
GST Payment,GST Challan,69828,Matched
Travel Expense,Interest Debit,65345,Not Matched
Salary Paid,UPI Payment,50544,Not Matched
Electricity Bill,Electricity Payment,50113,Matched
Laptop Purchase,Computer Purchase,11234,Matched
Laptop Purchase,Computer Purchase,51493,Matched
Office Rent,Unknown Transaction,8765,Not Matched
Salary Paid,Salary Transfer,77272,Matched
Fuel Expense,Interest Debit,37460,Not Matched
Staff Welfare,ATM Withdrawal,27777,Not Matched
Laptop Purchase,Personal Transfer,31686,Not Matched
Bank Charges,Bank Service Charges,70652,Matched
Travel Expense,Unknown Transaction,25173,Not Matched
Consultancy Fees,Interest Debit,25102,Not Matched
Stationery Purchase,Personal Transfer,20505,Not Matched
Laptop Purchase,Computer Purchase,28097,Matched
Internet Expense,Internet Bill Payment,73552,Matched
Salary Paid,UPI Payment,3954,Not Matched
Electricity Bill,Electricity Payment,70468,Matched
Office Rent,Cash Withdrawal,71509,Not Matched
Internet Expense,Internet Bill Payment,36865,Matched
Office Rent,Investment Transfer,44045,Not Matched
Fuel Expense,Cheque Bounce Charge,50787,Not Matched
Laptop Purchase,Computer Purchase,32377,Matched
Bank Charges,Bank Service Charges,19770,Matched
Advertising Expense,Cash Withdrawal,63246,Not Matched
Electricity Bill,Electricity Payment,20902,Matched
Travel Expense,Cheque Bounce Charge,2871,Not Matched
GST Payment,UPI Payment,27417,Not Matched
Laptop Purchase,Unknown Transaction,14770,Not Matched
Office Rent,Rent Payment,38723,Matched
GST Payment,GST Challan,47941,Matched
Customer Receipt,Customer Payment,91650,Matched
GST Payment,Personal Transfer,39242,Not Matched
Staff Welfare,Cheque Bounce Charge,20375,Not Matched
Customer Receipt,Customer Payment,95115,Matched
Salary Paid,Cheque Bounce Charge,92397,Not Matched
Bank Charges,Bank Service Charges,7464,Matched
Insurance Premium,Insurance Payment,62931,Matched
Staff Welfare,Cash Withdrawal,9650,Not Matched
Travel Expense,Investment Transfer,20196,Not Matched
Office Rent,Rent Payment,77567,Matched
Fuel Expense,Investment Transfer,49547,Not Matched
Salary Paid,Loan EMI,20676,Not Matched
Bank Charges,Bank Service Charges,24929,Matched
Salary Paid,Salary Transfer,23005,Matched
Salary Paid,Interest Debit,15062,Not Matched
Customer Receipt,Customer Payment,15328,Matched
Advertising Expense,Personal Transfer,95876,Not Matched
Bank Charges,Bank Service Charges,13631,Matched
Laptop Purchase,ATM Withdrawal,8673,Not Matched
Electricity Bill,Electricity Payment,39864,Matched
Travel Expense,Cash Withdrawal,11893,Not Matched
Advertising Expense,Cheque Bounce Charge,50353,Not Matched
Software Subscription,Software Payment,22528,Matched
Laptop Purchase,Computer Purchase,55360,Matched
Electricity Bill,Electricity Payment,1290,Matched
Stationery Purchase,Cash Withdrawal,9708,Not Matched
Internet Expense,Internet Bill Payment,99171,Matched
Salary Paid,Salary Transfer,81969,Matched
Staff Welfare,Unknown Transaction,65473,Not Matched
Salary Paid,Salary Transfer,68833,Matched
Internet Expense,Internet Bill Payment,37785,Matched
Software Subscription,Software Payment,50535,Matched
Salary Paid,Investment Transfer,12894,Not Matched
Software Subscription,Software Payment,86316,Matched
Software Subscription,Software Payment,9058,Matched
Salary Paid,Credit Card Payment,10842,Not Matched
Insurance Premium,Insurance Payment,44078,Matched
Advertising Expense,ATM Withdrawal,86708,Not Matched
Customer Receipt,Customer Payment,58700,Matched
Insurance Premium,Insurance Payment,57034,Matched
Consultancy Fees,Cash Withdrawal,9090,Not Matched
GST Payment,Credit Card Payment,33554,Not Matched
Laptop Purchase,Cash Withdrawal,89589,Not Matched
Laptop Purchase,Credit Card Payment,23590,Not Matched
Consultancy Fees,Cash Withdrawal,96573,Not Matched
Salary Paid,Investment Transfer,92911,Not Matched
GST Payment,Cheque Bounce Charge,38125,Not Matched
Advertising Expense,Loan EMI,76360,Not Matched
Electricity Bill,Electricity Payment,55565,Matched
Consultancy Fees,Loan EMI,55472,Not Matched
Internet Expense,Internet Bill Payment,64692,Matched
Fuel Expense,Loan EMI,66113,Not Matched
Insurance Premium,Insurance Payment,59656,Matched
Software Subscription,Software Payment,90850,Matched
Software Subscription,Software Payment,75565,Matched
GST Payment,GST Challan,92996,Matched
Electricity Bill,Electricity Payment,32737,Matched
Travel Expense,UPI Payment,21413,Not Matched
Laptop Purchase,Computer Purchase,1630,Matched
Laptop Purchase,Cash Withdrawal,6540,Not Matched
Salary Paid,Unknown Transaction,27578,Not Matched
Salary Paid,Personal Transfer,86338,Not Matched
Stationery Purchase,Unknown Transaction,45312,Not Matched
Consultancy Fees,UPI Payment,86231,Not Matched
Travel Expense,Cash Withdrawal,42057,Not Matched
Staff Welfare,UPI Payment,38777,Not Matched
Advertising Expense,Interest Debit,72116,Not Matched
Bank Charges,Bank Service Charges,93889,Matched
Fuel Expense,UPI Payment,3410,Not Matched
Salary Paid,Unknown Transaction,16359,Not Matched
Laptop Purchase,Credit Card Payment,96771,Not Matched
GST Payment,Loan EMI,49147,Not Matched
GST Payment,Personal Transfer,70662,Not Matched
GST Payment,Unknown Transaction,59830,Not Matched
Travel Expense,Loan EMI,17582,Not Matched
Salary Paid,Cash Withdrawal,22459,Not Matched
Insurance Premium,Insurance Payment,56311,Matched
Office Rent,Cheque Bounce Charge,51809,Not Matched
Staff Welfare,Personal Transfer,22382,Not Matched
Office Rent,UPI Payment,24666,Not Matched
Office Rent,Cash Withdrawal,98736,Not Matched
Customer Receipt,Customer Payment,70310,Matched
Software Subscription,Software Payment,81738,Matched
Consultancy Fees,Unknown Transaction,17567,Not Matched
Fuel Expense,Interest Debit,39504,Not Matched
GST Payment,GST Challan,94064,Matched
Travel Expense,Personal Transfer,47096,Not Matched
Fuel Expense,Credit Card Payment,28052,Not Matched
